0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14
-3793.91824077,11730.8711506,266.618743433,-2818.60597823,-2676.22390346,148.528810252,-2733.77654252,-1259.34232657,-2418.72278378,-4287.11724024,-9371.74895376,-4700.72675775,confession_bear,-99.269855557,-9377.8021619,1771.57627465
-14949.0508832,-1186.78640164,-5246.55993411,-3981.75026725,10792.328315,4767.19862156,4855.51055644,6991.42354816,-1821.84555354,9311.21692158,1127.64844429,-4342.46224334,college_liberal,4443.31746901,573.375502683,2917.60055735
-11302.1683745,1560.57253762,-3459.20202513,-9624.73827111,9629.89963492,-9673.51581827,-8015.80301171,-8503.18531993,4286.43731574,-4108.06929963,10524.8295306,-5638.32251805,sheltered_college_freshman,-3476.12536515,-865.193609333,3327.9228084
-11397.7106364,1544.53353975,-3203.95348882,-9071.57661201,9421.40285505,-9317.39693563,-8569.99762264,-8323.76401951,4442.39293136,-3681.17950594,9634.01264717,-6084.2688809,sheltered_college_freshman,-3795.7267099,-545.451339009,3493.47029222
-4203.30503335,6240.06592445,28864.6083117,12769.4751077,1813.44107422,198.630858686,-1494.44307183,5575.30442959,2048.88371827,-91.3391382777,1144.39274578,-998.972279591,socially_awkward_penguin,516.798051154,-836.949735709,158.391576
15214.888181,1153.98959639,-12862.2499452,6850.69127505,-8285.058324,-17509.4008835,1395.26842654,14667.4988995,5010.97631178,616.344416746,1330.97111714,-4528.77016105,paranoid_parrot,-3269.43787805,3196.00432203,-1252.23118661
32887.849143,-5448.86276838,-1922.04968567,3567.14689351,7375.8237999,1237.99431835,-2003.46599359,-5268.68323941,-3241.58665229,-1383.12426575,-4139.82284815,-5010.53021202,bad_joke_eel,7136.79133723,172.587862268,-5928.01795283
-20387.7538518,-15869.1991611,2934.30875169,-2899.54077559,-208.608367977,3224.26242791,-3366.64569115,2327.50507508,-4486.50422268,-6074.76503582,-962.880144981,-1911.31211391,first_day_on_the_internet_kid,-747.344387904,2416.33777475,1608.8069763
31210.8406766,-4485.00548515,-2959.13203969,3741.29798117,9124.07999531,1078.62774704,-2000.75343281,-5347.85282846,-1970.90944728,-4386.12588712,-2715.4291352,-6442.90641239,bad_joke_eel,6480.84662096,-735.107895496,-4052.21789426
1365.83905594,14082.4537189,7663.79454805,-6814.31283143,4721.21236531,-8819.72641677,3464.26155944,-2698.23064829,-247.543447508,2649.29924583,698.997816798,5904.72482906,bad_luck_brian,-2193.1819452,-2240.88386804,-5371.11056771
10583.0635262,24979.9928334,-858.772237792,797.24560653,-7648.75997069,940.332335598,1677.7270613,-8554.04137256,-8169.97310849,8048.15866193,1419.7652171,-1872.9783064,high_expectations_asian_father,-4354.21164317,9657.37836919,-2939.57344847
-2383.73907909,15444.1118924,2565.88174777,-8013.83105756,12981.3994133,-9061.27651928,3677.2900816,274.763412273,5199.25172615,-916.782329778,-4300.45655302,8416.45727012,bad_luck_brian,1338.61444229,1611.69442929,-5349.07105033
-14677.4838742,-1700.43110822,-5048.20502555,-4432.08479178,11142.5292861,4465.27002038,4474.51174043,6771.20560172,-1794.31456038,9680.23079296,470.062003604,-4121.52858078,college_liberal,4818.96191848,1080.55305626,1741.33925314
2500.11073199,18629.7449204,2743.26384007,-1667.31834315,-4799.00284394,-329.110967931,4048.3205565,-6322.87870511,-7890.62190825,3321.39519844,-1250.02588785,-1093.98736196,high_expectations_asian_father,-5023.3872089,5608.84049364,-3516.67449794
-18472.7770047,-14821.907929,985.378536159,1099.80621471,-131.019580179,3193.00338587,2077.05946406,3435.69949996,-1538.92350793,-856.779290401,1983.70621287,3591.87858711,overly_attached_girlfriend,1350.7064319,-2651.48049762,-5716.82746246
-19263.2900771,-11493.7820139,-7407.91678693,16017.6620836,1016.99872361,-2800.44978796,8198.33787578,-8630.06577408,2391.82428923,2822.94520484,-841.339961298,2946.93713686,advice_god,-2530.46459017,-1539.64333379,-152.154848315
-2778.63864645,11556.8667564,-22.7980836757,-1437.52107012,-3440.51373836,6371.42564366,2689.10520109,949.403818927,-7487.6724536,3232.60141928,1898.32679246,119.54649782,philosoraptor,-2236.74229264,-5479.18414323,-145.974337902
-2145.15572974,10730.1729088,1406.14208261,-3249.30197961,-4607.98437197,285.197132133,-2834.69930983,-2267.41436853,-1619.56929765,-2823.12146322,-7990.63375416,-5199.85178191,confession_bear,365.740364485,-7086.51871711,548.741580243
-18118.6645739,-11245.6887939,-291.651773341,-1435.87689519,465.677752593,2951.01369437,-1516.72630032,4634.46063346,-2991.8195048,-570.660157698,1429.24224117,-323.654209738,minor_mistake_marvin,-1444.06763498,-1628.98612821,-5218.35389
-899.531523632,10636.4652258,-191.656348893,-565.575430703,-3574.13557215,4718.97539,1429.67287661,459.04401818,-4251.63575065,4214.50666038,2550.41602631,-2103.49763496,philosoraptor,-2679.3084166,-1200.82182978,-397.682286537
7958.29050546,21342.9177979,2839.15895547,907.743177148,-7344.21440083,161.421205163,3318.51690804,-7667.55443015,-9952.45363897,5616.52693103,3069.43561437,-2673.35483221,high_expectations_asian_father,-2637.77040378,5794.55698551,-3530.00586797
32787.2790308,-2320.96684863,-4691.95727306,6806.07900035,10027.0001725,5663.45072824,-3728.70212707,2060.71595138,-6322.79336595,-3481.59783927,3637.31605303,9240.07377687,unpopular_opinion_puffin,-3430.34891526,316.978000251,1763.56267828
21062.6734344,-9833.00825803,2345.4711411,101.606235499,-2540.64195342,-1055.57723108,-3504.92731844,-4341.84029303,7453.71149182,12347.9374234,1703.3260717,15.8495120925,unpopular_opinion_puffin,-3030.10277808,2726.56480587,-206.762197536
