0,1,2,3,4,5,6,7,8,9,10,11,label,12
-14259.6906709,-4964.649964,-134.79409485,-7628.16181577,5216.62352324,-4604.15314201,-1465.66528378,-347.060273832,41.2940629221,1262.47651258,5270.37439993,1585.44282103,sheltered_college_freshman,-131.539913763
-3057.80334087,12062.4274425,4810.11423656,-8585.90430073,9237.61182957,-7891.85524822,2954.89220053,714.444401509,3757.83805056,-2396.61125206,-4277.48908422,10464.1893058,bad_luck_brian,-555.68490011
15824.4348394,642.689647707,-14625.5566714,6726.90922735,-7001.20616015,-16224.8934266,2520.12577997,16273.9218508,512.962573034,-2024.78774747,107.940068799,-5041.69480363,paranoid_parrot,-2070.44214971
-4216.94706205,7287.06676785,28538.6214296,13304.7018447,1647.84522728,-1115.53015841,-1196.52479234,4848.32786307,2458.46290112,-503.0907939,897.43149783,-2229.0711716,socially_awkward_penguin,1526.36623235
-13719.6282467,-6037.47452408,-53.3071005007,18.7215583534,-2123.7560396,-3204.59923663,-2718.43693277,-398.047650643,581.757399893,3293.11257983,854.93251927,-729.339146195,overly_attached_girlfriend,1049.11634433
-8442.8277699,-11507.6543024,5143.83372113,-7707.94617196,-6408.87040131,-1064.13538159,-2637.64525785,5927.85940614,-4906.93602453,-3271.6538932,4023.81314682,7565.77157359,minor_mistake_marvin,-2590.26655536
-494.445839277,-6671.24461756,-3058.48251839,3236.30605348,-4019.33762378,143.488636026,-5108.31224977,1989.93305931,833.88023043,16.6230298809,963.57224498,-280.678537491,evil_toddler,-599.790027938
-4479.54272674,8594.04954715,-7050.19236254,1551.36027019,-5533.99691397,15120.5065907,-2394.03646881,1858.74448459,11698.7300367,-2790.11463809,2633.57223818,-345.974272635,business_cat,-2029.64217671
-11335.5249897,1739.83886968,-3349.78365987,-9385.01678363,9289.10940949,-9608.16336897,-7284.3421294,-8300.26017059,4810.562201,-4042.21778541,9969.18947321,-5303.05111944,sheltered_college_freshman,-3452.12756982
2031.30305213,20806.3777877,-129.026651818,-702.102970704,43.6745070655,-859.424425646,1946.06765618,-6205.28001488,-5212.51484446,3306.73926808,-2899.71993698,-3252.54983052,high_expectations_asian_father,-4428.36612643
