0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15
-17078.8698687,-8717.50377388,-1064.42648712,-575.183825843,1509.13322922,1821.1103221,-1754.47556722,3572.27747767,-2370.46216911,547.558605307,1312.86764375,-864.400782172,minor_mistake_marvin,-1258.97227345,-793.30816992,-5768.36187856,2562.99159061
17094.3537499,5291.1677557,-7575.21580785,2443.87551284,-3308.20041732,-1526.45686618,-6873.75766611,1826.06710835,1774.53467772,2036.30551763,-2576.92496402,-744.06094699,good_guy_greg,-562.597077409,3136.8095604,3254.77637771,-2224.72099706
30393.3550559,-3799.66423741,-2210.13741687,4520.73076652,9850.13831597,2217.93908466,-1144.50142354,-3214.96165626,-4794.34598557,-4710.20866451,-1369.11331698,-3472.60413101,bad_joke_eel,4558.05892732,-56.8669417843,-6993.1132278,399.934817223
586.432943179,13322.7925145,-5690.77899915,-3504.93575083,-5270.07524801,1313.05897176,1126.10127362,-1602.79558292,303.712074946,-974.262989982,-2741.31103306,6890.87264521,good_guy_greg,7426.64454144,-1175.66292883,6423.97045105,-6773.83018958
6412.50322905,20460.153348,3227.92034233,-68.8994371097,-7988.09678903,221.332087095,3145.08882627,-7462.32551844,-8980.70028909,6911.01141609,2618.8639325,-3096.81937738,high_expectations_asian_father,-3414.85983423,5707.24877138,-2554.11563283,-1050.36012024
-1957.35171394,11864.1052655,21.2248072589,-2051.03109277,-3681.65450974,5241.06710914,4574.60515489,587.246635277,-6127.32489093,2864.01029651,2028.67738579,-25.0797171676,philosoraptor,-1122.47718454,-4679.17081536,-243.98716812,-2261.50300752
-8378.68827121,4108.36658443,1970.35880171,-4908.48085673,-1632.67952477,-667.670986654,-1948.68075964,68.3971459423,771.01117635,-1149.29823463,-6995.04160242,-3138.51556159,confession_bear,-4889.29044689,-4006.56153751,-2135.57816032,6603.94769835
-2197.91281641,11403.4150346,-8164.81598867,196.169193704,-5472.46379065,17317.7375184,1350.49321757,1098.91309524,15957.4926412,-4737.93641141,4181.51602901,-621.850736839,business_cat,4.3699665645,2165.8957158,-4847.33170125,-632.773985716
93.1454049751,-14165.6517911,1853.1779165,-2571.07477831,-5162.49594586,-1047.63300436,-6673.9601973,1853.81339988,687.835561718,3648.58776082,3478.15979692,4950.38084175,evil_toddler,-1731.19758652,-6012.90974859,-4155.54486106,-976.807434134
11028.5179366,-17155.6183631,4822.24652278,-2301.40547036,-5880.78568729,-868.709631772,-8155.91251384,-1532.07190911,5206.5219501,6913.64675307,-3815.48188105,3688.34407391,lazy_college_senior,-444.20677663,-7065.76646122,885.563154573,474.670527193
-2479.23946332,1964.38944983,-1831.33934098,-1737.61732233,-4042.15737442,-644.482173785,-2223.13236199,-877.440678265,-970.687016303,-1451.70347024,-5982.47953987,-368.97858396,overly_attached_girlfriend,3523.07905687,7527.65036485,5188.4656389,-1794.27313596
-3011.82606167,11149.6205061,-8216.69087967,1648.93746472,-5357.32748866,16298.0832495,-627.01484609,1444.61896419,13347.6172637,-3723.00347717,1788.85515177,-643.00698694,business_cat,360.867015291,1256.5059942,-5318.03127036,-973.480153482
-20148.1915067,-15056.9295542,2989.09908878,-3276.01312835,-49.5171686929,2744.64227733,-3386.45362389,1617.17644294,-2361.09828225,-2183.35151557,-3145.07387255,-1183.83726109,first_day_on_the_internet_kid,-1047.280659,5622.94337515,1041.32224728,-4757.4010313
11680.7811363,-16776.5852894,4032.43423422,-4200.14599096,-4752.19370428,-73.4023589246,-9577.45299773,-2045.38184848,1316.58814608,15549.4962389,-5232.68978062,-616.182754529,lazy_college_senior,-1449.73189496,-7588.50275733,-1463.076073,-1356.20238717
18486.9629273,-13770.3312266,6781.14359662,-8974.17005266,-6672.39335597,-818.854827362,6759.59331059,-3350.43369811,4191.96485317,3402.06933422,-3955.85274884,1845.45065693,sudden_clarity_clarence,238.244487444,151.357983597,2147.63947806,-279.638034345
-2221.67072085,11572.7344143,31905.9773216,14798.2731185,1400.77683783,-1346.95123923,-2502.91401186,6207.20437619,4512.34614831,-1419.08422946,2408.47819863,-1256.58932998,socially_awkward_penguin,2308.65187204,16.5215805626,4515.01873558,-558.099684034
