0,1,2,3,4,5,6,7,8,9,label
18486.9721009,-13771.1726703,6787.51369553,-8982.85893858,-6664.19513509,-782.332170736,6671.00393631,-3294.64364485,4385.91406405,3734.97509187,sudden_clarity_clarence
-2221.68031542,11573.1197564,31905.6233413,14795.0823503,1406.36619514,-1345.57797066,-2486.44622579,6290.20474727,4462.91862846,-1246.57926035,socially_awkward_penguin
-14259.7210455,-4964.8413078,-139.375690708,-7628.5994219,5198.42926879,-4596.39761432,-1426.12745597,-448.235419691,-55.3162516292,1134.2141011,sheltered_college_freshman
-3057.78424197,12062.6265257,4812.21090733,-8587.70077528,9245.84600281,-7898.29915102,2949.44183385,746.917025587,3855.65182461,-2222.82322082,bad_luck_brian
15824.4290802,643.100218214,-14623.5878337,6721.24976025,-6985.60772562,-16268.5637227,2604.48864298,16407.5509868,385.06045988,-2014.93811159,paranoid_parrot
-4216.94319191,7287.05060868,28543.4250609,13303.6305297,1652.50501636,-1120.26102838,-1200.64588026,4913.31895335,2483.21956478,-282.603247884,socially_awkward_penguin
-13719.6858177,-6037.28756818,-58.0150033198,18.9426174339,-2151.7686875,-3233.25295967,-2667.19686272,-492.003172193,393.704160007,3306.51531209,overly_attached_girlfriend
-8442.86770171,-11507.5918647,5140.43103878,-7708.81679685,-6419.03873623,-1110.72108645,-2561.35133461,5977.25031088,-4977.02623762,-3612.48867391,minor_mistake_marvin
-494.436642374,-6671.6849526,-3059.65314711,3233.75389417,-4026.65501038,128.572056991,-5103.53848445,2010.59084271,765.332989243,87.72389839,evil_toddler
-4479.54615689,8593.62702258,-7048.56532231,1544.8099139,-5537.20084999,15126.4564943,-2382.70672635,1821.43276756,11821.2536981,-2256.36435225,business_cat
-11335.5392689,1739.88875078,-3346.31904092,-9383.29525618,9289.87513191,-9625.28618763,-7273.49780079,-8225.46429396,4914.50295903,-3845.3006292,sheltered_college_freshman
2031.34615946,20805.6559794,-123.611372132,-719.3199914,41.7855485842,-920.498242125,2001.06477185,-6123.66032608,-5438.12848643,3320.15202045,high_expectations_asian_father
-3793.92975892,11730.4833075,250.890169302,-2822.83516225,-2686.38439973,217.980256517,-2663.03639899,-1504.95905949,-2225.78092036,-4723.36932383,confession_bear
-14949.0562418,-1187.06151401,-5249.55055424,-3982.91119945,10795.9072078,4785.67365954,4849.14752256,6903.72316514,-2300.42249861,9181.13522544,college_liberal
-11302.1719863,1560.76860461,-3457.34828153,-9624.48022881,9629.5563905,-9691.45799508,-7995.50852185,-8414.82173147,4432.9308817,-3930.32339472,sheltered_college_freshman
-11397.7082923,1544.7472902,-3201.17951167,-9071.26160467,9423.16162065,-9342.6172421,-8559.36545745,-8218.44118457,4568.3142562,-3456.65689881,sheltered_college_freshman
-4203.29151514,6239.93888798,28868.7454882,12769.5622436,1816.24555286,183.555147877,-1521.52638712,5613.46323906,2053.99150375,139.513081309,socially_awkward_penguin
15214.8943974,1152.99526877,-12865.5656343,6843.17368689,-8275.07439517,-17473.1129306,1378.91269297,14596.5978819,4968.51182803,809.627681253,paranoid_parrot
32887.8663959,-5449.36127856,-1920.62513702,3564.07654612,7378.87739325,1243.38163451,-2047.59520863,-5300.03590314,-3052.41947012,-1397.72581792,bad_joke_eel
-20387.7735315,-15869.0169454,2943.15665058,-2893.68467158,-207.63523993,3183.71243674,-3422.97704843,2417.52240468,-4154.27738849,-6076.24978178,first_day_on_the_internet_kid
31210.8229871,-4485.30250199,-2949.96892965,3739.04231899,9124.81123775,1041.98451904,-2077.33611668,-5261.31830489,-1758.94414413,-4262.42699148,bad_joke_eel
1365.91198804,14081.6393272,7661.74762246,-6811.36034117,4698.40897636,-8811.06258151,3407.38266442,-2851.46694342,-156.014109742,2824.04677904,bad_luck_brian
10583.0507518,24979.7513146,-858.772033732,797.671373117,-7649.28830379,941.456000415,1675.68976529,-8586.32692262,-8447.07982674,7679.15706279,high_expectations_asian_father
-2383.7284082,15444.399545,2565.02960185,-8013.97881962,12988.9988517,-9041.4673322,3707.26899805,332.83636938,5267.55952052,-726.039977469,bad_luck_brian
-14677.4441051,-1701.31128886,-5047.56731703,-4432.80216636,11147.2268901,4474.14755983,4404.0609614,6674.27223702,-2208.68369143,9718.7447789,college_liberal
2500.07882558,18629.7503632,2742.01024035,-1671.22537734,-4823.87844001,-336.181568152,4068.83775803,-6369.21422186,-7894.69801363,2927.9926336,high_expectations_asian_father
-18472.8068596,-14821.6826409,980.581251779,1100.74567772,-158.577526145,3221.37536103,2144.42007887,3381.63487337,-1339.65511969,-1024.44868021,overly_attached_girlfriend
-19263.3070211,-11494.008044,-7410.57663869,16013.678955,1014.90813015,-2784.59040467,8211.72789985,-8672.74440988,2262.00895078,2852.45106127,advice_god
-2778.61127414,11557.1083628,-26.4670467255,-1438.42432003,-3430.8087335,6397.60739921,2707.09582757,931.254661856,-7672.40984806,2761.31981608,philosoraptor
