0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
-17078.8731296,-8717.47752184,-1063.76157894,-572.862916347,1512.00941484,1819.41739731,-1751.4793559,3577.59349454,-2390.89473185,544.176362362,1353.69719951,-754.209625271,-1110.41080229,-809.11832123,-5980.1259199,2432.25685041,166.307846657,5736.42026564,7498.17360266,-362.474916315,-1250.6416396,800.710107399,-2283.22957639,-1748.02978708,3014.18271181,993.022367105,minor_mistake_marvin
17094.329093,5291.26573638,-7576.46845385,2438.79206432,-3331.2199307,-1528.13752511,-6883.80921947,1861.62442355,1831.94430611,2085.49098639,-2627.69795051,-902.516167078,-573.328963647,2927.71114195,3720.88289486,-2495.55596925,-2726.40168215,127.285183839,4282.65255491,4456.8453027,-7463.27140023,-6541.2573108,-2328.5831915,2185.64084711,196.693764164,534.482911661,good_guy_greg
30393.3503213,-3799.67364313,-2208.76051921,4518.44984875,9843.03969027,2233.4816635,-1120.90530317,-3205.75618708,-4861.08026534,-4668.43799855,-1305.06117733,-3288.73324257,4636.4161526,-275.803874082,-6940.33917017,301.960388293,-1932.39361114,3125.44577126,-2652.08608515,4492.49227608,2065.2142641,5059.89403832,-5386.05256882,-6212.24740578,740.350766139,5003.71351608,bad_joke_eel
586.437236866,13322.8105437,-5690.11526143,-3503.28223881,-5266.67947816,1314.92479156,1133.21954356,-1602.46673942,272.255433932,-997.368789762,-2623.05942755,7153.7343629,7333.99449961,-1260.18709658,6458.08604359,-6700.96341811,-4505.02756116,3748.42918338,-1230.46313394,-512.918711162,-1393.26529409,1595.32817392,96.9102744765,-1371.13857182,-1097.32901294,-2609.35128089,good_guy_greg
6412.49587127,20460.2904253,3226.54522292,-71.4016831066,-7989.80336273,217.126642079,3126.69330854,-7471.78679387,-8885.37151214,6993.60368651,2501.04268594,-3386.35453935,-3494.83634933,6011.18035837,-2402.5701306,-1023.68603168,-1665.5296313,1584.86978514,4286.60104152,-1454.68489434,5671.33144956,-1277.98438019,-2850.14942777,4609.08804274,-2233.289036,-1169.55036894,high_expectations_asian_father
-1957.35639334,11864.1308186,20.5844577292,-2052.97120885,-3683.61778529,5236.74572863,4562.28554712,602.150634303,-6076.4681001,2922.65955997,1975.65284897,-74.6371632619,-1180.24089557,-4244.51181304,-326.23173855,-2494.610183,6400.88601776,760.454889989,-6124.52093117,2284.51009,-2692.24280252,-605.433870246,605.851369639,2381.43777766,1592.29520164,-2153.73866978,philosoraptor
-8378.67609432,4108.40638705,1970.8778605,-4904.77007125,-1617.88588607,-682.796211916,-1965.74340625,70.3762389483,786.611534282,-1183.17568223,-7074.79103112,-3031.2900037,-4758.20080016,-3754.75573709,-2281.80047037,6466.89420966,-1832.09239715,46.3742412843,-4574.58408429,-1678.48265204,-2062.51202233,1385.79334477,7525.27147421,1207.75719518,705.043732463,3997.51655345,confession_bear
-2197.90431165,11403.3788421,-8164.83982393,198.071962212,-5470.42997219,17316.6401015,1352.06223857,1095.16504694,15927.9347737,-4832.78319834,4190.71126124,-709.236916178,0.279716644275,2184.37504745,-4797.08530797,-532.716155423,132.901430009,-3290.68160835,320.908755296,-503.946866652,222.905239738,-63.4111393373,-746.758809976,-342.383546358,-2257.05935284,-1583.02112622,business_cat
93.1526997317,-14165.7673873,1853.16867968,-2571.03159948,-5164.3274982,-1048.05752594,-6653.3531178,1862.56698938,697.9177684,3664.1101171,3526.84099454,4944.52751003,-1778.94902248,-6171.34397984,-3919.74300117,-1039.05352054,-3343.86944167,-237.771258403,-796.860209005,-2386.18071582,-222.168871971,-2262.24665917,1165.22987838,1588.85244536,-2078.08469446,-981.956044505,evil_toddler
11028.5361952,-17155.8353169,4822.70268774,-2299.41420553,-5871.70684103,-879.241895443,-8155.04460533,-1487.48703644,5265.26291637,6913.35865733,-3811.903728,3931.80308078,-573.711133466,-6513.78804305,415.360923725,180.604583143,1742.77796947,2537.39208228,1562.12051911,4903.5221825,5491.95331049,4544.57329882,6224.54458954,-1514.01684623,-118.460712796,979.427492027,lazy_college_senior
-2479.23640481,1964.53237685,-1833.51427459,-1740.37276808,-4037.47748974,-654.275613368,-2250.29411521,-875.75183485,-907.552256201,-1415.48484024,-6118.5708679,-419.593096155,3320.17300716,7888.21070241,5444.17646514,-2099.36100804,6709.97469321,5611.10423144,2986.98446975,5639.24566423,-1894.26388035,-5158.05095009,-950.972113834,-7033.05285229,-1586.89333406,-739.970785227,overly_attached_girlfriend
-3011.83158621,11149.7235893,-8217.50272555,1646.70222533,-5358.55985728,16292.2131573,-648.692342105,1441.41249468,13364.4097179,-3771.88058585,1758.06237511,-762.866847195,254.274399547,1691.86332282,-5356.26652512,-1017.66501546,1591.25529409,-583.987047173,-1413.23838679,-512.655927992,4475.94546273,1288.75614366,-1497.5458043,1424.60126635,632.102529922,-1023.98488333,business_cat
-20148.1791671,-15057.1162301,2989.62708816,-3271.58123074,-46.6394901625,2742.43256715,-3370.92284378,1596.77908422,-2363.719975,-2177.51481511,-3121.47165438,-1329.07230544,-1008.25183453,5558.43914548,1013.16259363,-4545.85986401,3493.80833766,2752.50534706,-3574.59254367,-419.792861228,1808.45923006,2692.49337114,2723.98119502,-411.916256427,-3794.91809385,-2160.81074255,first_day_on_the_internet_kid
11680.7725205,-16776.3969575,4031.56133938,-4201.31289759,-4750.30465889,-72.4918270253,-9603.19790955,-2048.76318203,1405.83724791,15520.7310403,-5263.20343599,-625.877283629,-1376.73643069,-7130.3656963,-1584.68720741,-996.025003958,5415.14491208,-8416.84964896,5797.1910959,5697.15741258,-2344.18697812,6967.13339724,-7901.74481763,1913.41062288,2978.49842343,2644.33022488,lazy_college_senior
18486.9591114,-13770.1815879,6779.5750817,-8974.60825932,-6660.70930714,-849.148031858,6743.38626479,-3352.01649214,4293.30510834,3417.46851064,-4058.69477752,1701.15748956,63.9386726359,913.862667914,2514.79348301,-524.351809705,5489.01473326,2017.52146,-1435.35334652,-486.643123585,8226.43562784,135.495202256,4042.55473694,3189.05707304,-2403.545873,-8955.81098776,sudden_clarity_clarence
-2221.68032358,11572.7585177,31906.131173,14796.3458346,1395.24923012,-1342.51018096,-2501.37443184,6220.84568757,4489.64552983,-1435.6517724,2421.4554959,-1170.24054289,2360.3865959,-214.498120108,4539.1125678,-636.422809574,-1223.01737431,-973.154920564,190.257163147,-184.209499142,-1836.62090268,433.695658825,-3226.47787805,-917.55882075,764.146293966,2062.38292293,socially_awkward_penguin
-14259.684127,-4964.72602152,-134.544895426,-7626.83750846,5217.24311188,-4600.08033592,-1458.06029361,-331.352468301,36.6783388166,1263.41816361,5206.08694653,1532.82136362,-215.211719525,-2843.15589846,-1860.48223402,-1018.46116029,2069.51410699,2526.04813733,-3013.90907106,1168.93913611,4091.56339129,-49.4778907954,1994.82006229,-5329.30415151,-2253.35674793,-338.507274066,sheltered_college_freshman
