0,1,2,3,4,5,6,7,8,9,10,11,label,12,13
-8378.7016541,4108.00893275,1970.17901947,-4908.8658781,-1610.99244654,-692.463545473,-1974.82996147,54.2770593164,764.416804855,-1158.57363582,-7085.79226474,-2813.427263,confession_bear,-5001.40467464,-3779.51444294
-2197.88873597,11403.4635774,-8164.88020402,198.427266669,-5470.66312239,17318.6903591,1361.72875056,1080.21976897,15931.4347121,-4821.39932749,4180.06580354,-602.42313334,business_cat,6.3946512682,2173.44044076
93.1140546757,-14165.8311344,1852.6073167,-2564.62673024,-5157.17496034,-1059.12551438,-6663.83647844,1862.54194226,711.004197528,3646.09310018,3557.42459329,4738.09773836,evil_toddler,-1764.60830474,-6052.62381697
11028.4932371,-17156.6348269,4820.46921007,-2300.22512653,-5857.77335575,-902.513160716,-8157.11196509,-1551.42072622,5269.78917581,6968.47637589,-3673.71982811,3855.23470338,lazy_college_senior,-829.081407996,-6471.53821214
-2479.24485113,1964.92745053,-1830.73795244,-1735.99723264,-4044.02596838,-660.276991802,-2249.3186556,-809.243196059,-848.678669766,-1451.10915578,-6187.92802672,-640.736869991,overly_attached_girlfriend,3494.36988606,7734.23824052
-3011.82922058,11149.6936647,-8217.50441857,1647.51159324,-5360.65420166,16297.2746041,-628.715047346,1428.62706177,13385.1736278,-3746.64095389,1763.29416778,-680.834815689,business_cat,179.337455664,1689.69159457
-20148.2207119,-15057.3589202,2987.74492154,-3266.00776042,-32.510277513,2737.72007942,-3394.01678276,1562.30893224,-2374.89607917,-2177.54720814,-3065.13898147,-1558.7310084,first_day_on_the_internet_kid,-1238.66525501,5827.71704044
11680.8400267,-16775.9702804,4032.43017712,-4205.94029489,-4764.56916204,-58.1925357928,-9565.88637041,-2041.76334099,1397.73993231,15527.7959242,-5347.04938605,-148.878168166,lazy_college_senior,-1157.71034762,-7268.00068118
18486.9461842,-13770.0777177,6778.3038421,-8965.64930856,-6663.12596748,-849.797079134,6778.15852861,-3365.99732614,4341.78820392,3424.84201402,-4116.06501559,1679.73283876,sudden_clarity_clarence,86.7623506689,1121.85312898
-2221.67502707,11572.8211382,31906.5898174,14796.5387666,1393.00663997,-1341.77844375,-2498.92920705,6231.18222107,4501.57760988,-1434.9456234,2407.90605182,-1316.36064533,socially_awkward_penguin,2328.95900922,-257.114181005
-14259.6977899,-4965.02812794,-134.724743824,-7627.20519045,5217.82325305,-4590.50711002,-1457.53911801,-364.422281072,38.0587772684,1282.29757341,5255.49675674,1521.85563359,sheltered_college_freshman,-348.453974009,-2715.93551021
-3057.80237064,12062.6059169,4810.43408154,-8592.43744975,9241.11673132,-7907.67638548,2945.17625605,730.521296544,3743.75874295,-2394.45764627,-4359.63794606,10505.191102,bad_luck_brian,330.074797973,-409.811923528
15824.4537267,642.677660119,-14623.5536098,6722.16684296,-7003.05841931,-16244.081403,2569.79694163,16318.4212933,476.50553692,-1977.86316651,148.739939267,-5104.81750559,paranoid_parrot,-2146.38627359,-424.918694616
-4216.93990065,7286.98041998,28540.097115,13306.4881478,1648.80110972,-1112.87413223,-1177.42971014,4840.34780739,2479.34897686,-449.858226161,1025.0371967,-2399.4819992,socially_awkward_penguin,1417.02255654,-1305.85109287
-13719.7007577,-6037.48482035,-52.0241347229,29.9190264226,-2111.3723432,-3237.70733676,-2757.5307799,-317.405448292,631.12253267,3305.44565623,786.614979534,-1343.79178033,overly_attached_girlfriend,601.149032361,2341.85922376
-8442.84785476,-11508.1133535,5141.87394595,-7711.57182709,-6402.11710429,-1107.4691727,-2624.05362844,5984.39824459,-4970.18389399,-3307.53480534,3853.1346866,7621.79152088,minor_mistake_marvin,-2325.04020048,-2442.65930521
-494.466270525,-6671.71444811,-3061.58662395,3227.67655669,-4013.5150686,112.834412623,-5118.36630461,2010.4196512,714.186309382,15.1976143832,910.935308576,-228.957762775,evil_toddler,-633.02396937,1887.35824921
-4479.53841541,8593.79018224,-7049.06459317,1551.75923789,-5530.30088832,15120.2868143,-2352.6054906,1813.18951573,11675.4794402,-2742.31569042,2696.86098852,-216.717219012,business_cat,-2049.2166969,681.665776347
-11335.5031516,1739.69440645,-3349.1040552,-9385.5686196,9287.43649692,-9599.68266907,-7280.74664666,-8319.97283832,4769.40707068,-4029.87018441,9964.30266165,-5095.30205949,sheltered_college_freshman,-3906.65222064,-82.7020197562
2031.35758183,20806.0076744,-127.63843121,-719.475259666,42.4147503645,-891.36308649,2052.54469752,-6156.02346356,-5448.86838137,3367.63869936,-2843.83247317,-3037.69900456,high_expectations_asian_father,-4396.53603629,6261.49430816
-3793.92098986,11731.0497411,266.13193601,-2820.77495108,-2683.40412279,178.89682794,-2685.69015535,-1248.05217446,-2336.02152901,-4341.22072838,-9366.11829417,-4312.01947076,confession_bear,-283.487027336,-9566.06576429
-14949.0524597,-1186.92500505,-5246.06480328,-3977.36590996,10797.6092573,4757.06941536,4835.65407871,6967.25646095,-1897.01468499,9342.64895509,1162.5287281,-4807.21251841,college_liberal,4224.84317392,652.713292499
-11302.1403337,1560.61109178,-3459.76858433,-9628.07215827,9624.62238721,-9667.7966286,-7999.76918091,-8509.48975147,4289.76166685,-4089.32845211,10549.0001326,-5452.02416607,sheltered_college_freshman,-3743.93809772,-813.123924733
