0,1,2,label
26381.1001027,-15132.8200666,2869.7262764,sudden_clarity_clarence
-3316.79975662,13352.6238981,4241.04547175,bad_luck_brian
-3625.9494652,15105.6942094,2287.48537969,bad_luck_brian
-18180.1040813,-12711.2838317,3105.06299931,first_day_on_the_internet_kid
14212.8506514,-12233.6436572,3878.88591435,lazy_college_senior
7583.88078968,-3744.5825397,-6209.02255736,philosoraptor
-2554.85175502,11632.9204472,438.520880983,confession_bear
-18009.1986965,-12682.7983109,2887.09544229,first_day_on_the_internet_kid
19069.9708647,-15655.2694926,8538.63266137,sudden_clarity_clarence
24613.7833534,-8401.82117792,-10489.5185002,business_cat
-17745.2084775,-10511.8317345,-778.118398609,minor_mistake_marvin
5212.25935504,18924.6927598,4502.25093566,high_expectations_asian_father
-3626.46488389,7285.93370632,-6900.224189,paranoid_parrot
