0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
-17078.8751299,-8717.49704995,-1063.52689478,-573.758171004,1512.10813416,1816.20623876,-1752.06007031,3569.33411558,-2397.49361112,534.337638057,1371.10917572,-719.083016869,-1150.48478908,-804.211079079,-6012.17878015,2402.43475414,-217.31595562,5706.7139133,7546.11412904,-138.153950573,-916.968391668,642.492117687,-1258.87332481,-2468.80214806,-382.766239012,4385.85576319,-33.0866651078,-2458.58824907,minor_mistake_marvin
17094.3205798,5291.25809478,-7576.28499036,2437.75672929,-3330.0212331,-1524.16872147,-6879.55073487,1852.49579361,1819.10652108,2079.3055737,-2596.77317557,-812.554314517,-575.428659337,2930.729496,3671.22792002,-2452.87593203,-2987.29186894,294.775955312,4201.62957751,4043.80879303,-7366.42840108,-6641.06770447,-3541.87232344,1441.60129053,1253.32125012,510.319886035,4304.91424975,839.658559662,good_guy_greg
30393.3502269,-3799.69090983,-2208.79306119,4517.85499554,9844.08778228,2233.20288946,-1125.88957945,-3213.05241211,-4867.64175266,-4679.10659073,-1287.42077742,-3279.29764772,4618.10969317,-264.369447855,-6972.86995239,286.603997181,-2006.99398128,3158.21654866,-2623.31374221,4430.53697583,1816.83568297,4922.31652571,-4403.28095464,-7345.41982424,4933.54051918,2110.43251045,541.555367221,6573.18828226,bad_joke_eel
586.437536147,13322.7938831,-5690.0882563,-3503.37168969,-5266.24393442,1314.95715118,1134.80324215,-1604.65927408,271.148716982,-994.280437073,-2612.21834662,7158.18437742,7346.66355385,-1270.80279587,6444.1105821,-6722.0960688,-4551.31493998,3747.95493152,-1242.64462655,-512.717577398,-1320.37577706,1491.77287698,463.595985954,-1188.559599,-2343.74863778,-2085.20844086,1135.3720109,-887.467037398,good_guy_greg
6412.49335505,20460.3063293,3226.70285005,-71.5145127732,-7990.80909164,215.618985944,3127.27798503,-7474.8465163,-8889.77565535,6982.71606546,2505.04130834,-3387.50290367,-3508.28446784,6018.54345701,-2400.1565259,-1019.6780769,-1732.0386575,1610.05754161,4269.31248405,-1372.84771449,5696.30189206,-1359.14051578,-3561.96294067,3831.52789418,-534.014623306,-2340.49238739,-2336.7660516,637.937753209,high_expectations_asian_father
-1957.35847929,11864.1431214,20.5238234288,-2053.26969435,-3683.77033933,5234.46298107,4563.52985758,600.34825805,-6077.55844546,2917.9973772,1976.93895089,-77.988223081,-1192.042919,-4246.33592807,-323.862182618,-2493.28221007,6368.57162836,878.957250926,-5993.74545877,2381.53284516,-2555.49594182,-689.634208721,61.8851663665,2445.9823802,-2206.82307242,1160.63461358,-913.879436402,427.110290841,philosoraptor
-8378.67004552,4108.41257145,1970.63314921,-4904.92881925,-1617.55603136,-682.169819279,-1959.51928925,79.690637234,796.534700394,-1161.00669673,-7088.58580589,-3086.17267971,-4770.183374,-3800.06281249,-2155.90785381,6393.77398072,-1737.81108249,-72.2254685656,-4565.93761952,-1650.17307335,-2291.89748897,1666.97096665,6675.93918843,2673.23288412,3283.56368853,1120.53634263,-4837.03019403,-1121.13784405,confession_bear
-2197.90471898,11403.3766899,-8164.7635317,198.307749462,-5470.4864494,17316.9808492,1349.35982526,1091.5437015,15926.6402422,-4837.76562002,4193.99292927,-708.620909831,-0.990720272303,2190.46311484,-4811.54079277,-507.06347368,184.139645446,-3229.85542688,331.059199791,-522.768469017,171.360907719,-70.7987413367,-399.019734646,-337.059307457,-784.666494075,-2318.19870759,144.269049693,-1897.43081691,business_cat
93.1530121703,-14165.7890954,1853.42753259,-2570.84350988,-5163.37635946,-1049.62967131,-6656.60078423,1857.07630639,703.169826527,3655.46244114,3536.60111807,4960.46313755,-1767.33773669,-6141.61524984,-3954.45257559,-1050.82716345,-3208.61175871,-279.415645812,-787.010758543,-2575.1327215,-370.270107338,-2113.96926588,695.417326806,1965.95223588,-288.277415755,-2653.2349132,-3208.16454363,3064.51650334,evil_toddler
11028.5388624,-17155.8217011,4822.42104691,-2299.51869641,-5869.76303099,-883.061523133,-8156.14551577,-1489.30892868,5265.33262333,6906.40121307,-3814.02759531,3860.84366063,-585.735780294,-6561.21422749,530.825780923,194.919803658,1783.56190252,2509.21281772,1658.38912202,4850.70277697,4914.04473993,4935.65538019,6187.30300784,-260.93353378,2000.67304257,1179.58451261,-6406.34056055,226.186065463,lazy_college_senior
