0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17,18,19,20,21,22
-8378.6679342,4108.42218434,1970.25212098,-4903.16481457,-1618.87452692,-681.414332808,-1952.48306832,105.234910153,798.090881878,-1175.57603474,-7076.64375943,-3096.20111792,confession_bear,-4739.08307806,-3779.80564831,-2165.29785562,6366.71252606,-1851.15612469,-58.7104686347,-4751.80104373,-1715.05603552,-2724.29454014,395.725871268,7329.56937702
-2197.9026564,11403.3595894,-8164.77154306,198.490226111,-5469.42649943,17316.882612,1350.8554332,1090.78413228,15927.1113554,-4837.5687686,4200.80998211,-705.428892309,business_cat,26.2157082673,2185.38351034,-4811.67070636,-480.7090834,178.717127757,-3263.3823359,199.854107289,-698.835687652,124.127561376,-374.077679652,-848.892691915
93.1559345515,-14165.7863045,1853.41753128,-2570.6576445,-5164.59754853,-1047.4285447,-6654.19138244,1862.16497217,696.617818951,3649.59877843,3544.91064211,4942.45432378,evil_toddler,-1765.1241939,-6067.5060553,-3919.79831263,-1063.56524293,-3304.98887071,-271.992286907,-793.208098349,-2105.68174934,-169.512989756,-2843.4955086,767.96486103
11028.5328145,-17155.7635961,4822.59438799,-2301.16842383,-5866.21335071,-888.141599021,-8161.51402503,-1473.15228185,5270.50693836,6924.49759629,-3806.58892026,3861.22113792,lazy_college_senior,-619.68102436,-6479.75666875,471.517271212,197.485648656,1583.28553998,2004.45307121,1819.80389997,4094.06041749,4006.9883313,6502.48893645,6733.5257856
-2479.24363414,1964.46888317,-1833.44514715,-1735.55894911,-4039.20129123,-656.826231109,-2240.25152684,-892.751123647,-903.024777513,-1432.27211062,-6128.35147877,-422.111678094,overly_attached_girlfriend,3427.77032944,7763.94659899,5377.1995285,-2172.27098812,6719.67926662,5875.58068244,3043.37980613,6172.14192514,936.975102188,-4488.52775461,-630.97708434
-3011.82956604,11149.7513244,-8217.54802817,1646.20979496,-5359.03881306,16294.6023145,-648.067234382,1451.93897289,13369.9481033,-3766.69296313,1752.86007421,-778.550107946,business_cat,239.887964604,1743.38021379,-5312.01527226,-1018.11876448,1504.01774454,-606.442569227,-1449.389001,-1047.17847268,3685.32512461,2184.85416388,-1628.99233054
-20148.1678415,-15057.0400089,2989.97157611,-3273.97864509,-45.854121266,2742.94361176,-3375.97870794,1619.43617618,-2349.24624,-2166.93276387,-3129.42656251,-1359.15001492,first_day_on_the_internet_kid,-1103.03129626,5673.76108248,1188.05664974,-4611.05006072,3125.559888,2584.9489846,-3363.2769682,-389.998442187,337.963886082,2310.56010496,3476.59979048
11680.774438,-16776.4140619,4030.87768693,-4198.45253011,-4753.50358009,-69.8697139637,-9589.15287057,-2031.25595841,1408.6572012,15519.9067665,-5272.49380932,-678.983217905,lazy_college_senior,-1305.25582985,-7278.89857817,-1683.54110541,-1129.63872148,5593.00256206,-8661.53895264,5506.9969746,5107.58995103,-3023.71799107,7022.6348963,-7858.07843483
18486.9669119,-13770.1240105,6779.30461947,-8970.79104132,-6663.53259073,-835.88484045,6744.11792583,-3283.31412435,4333.21202643,3420.47418151,-4047.8364984,1658.45473169,sudden_clarity_clarence,158.334058443,978.262840102,2535.62078514,-762.851564726,4777.21204528,1522.85702423,-1681.65220414,-491.329716695,8355.61645427,-145.971187044,3969.07679406
-2221.68295082,11572.754464,31906.1741174,14796.7128456,1395.12453353,-1342.38605034,-2506.65465438,6205.63213143,4488.75233728,-1432.39602549,2413.83966782,-1153.37707232,socially_awkward_penguin,2377.77067295,-294.804520566,4447.69298699,-574.184789868,-1119.26118745,-912.168575176,98.9586065223,-132.812136755,-1607.52432791,330.992983274,-3115.8276459
