0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17
-8378.67714416,4108.4062194,1970.23737914,-4902.90985773,-1625.54295014,-683.626007809,-1967.11640299,68.6011238725,766.444961431,-1153.82613379,-6948.28932574,-3128.7265202,confession_bear,-4709.98031732,-3630.77182619,-2107.98149764,6800.81145861,-1675.34455705,-1684.82490241
-2197.89001046,11403.4236879,-8165.10865374,202.342622426,-5466.69774501,17309.282916,1340.73786312,1107.2126891,15891.6081756,-4879.17639329,4181.3800381,-637.083796152,business_cat,9.4636660596,2302.98770207,-4814.13464937,-504.463523879,736.123452716,-2945.0712818
93.1316330716,-14165.8328931,1853.90786986,-2578.15896389,-5164.00769846,-1032.47175326,-6646.33199791,1853.43278821,755.765632265,3594.29087225,3440.95855199,4989.30215109,evil_toddler,-1877.75394827,-6025.59785605,-4360.12077492,-48.508850903,-2821.53387077,-878.502321632
11028.5374806,-17155.8890902,4822.34207204,-2299.62034862,-5864.37777009,-883.886216555,-8148.42402846,-1507.3251752,5292.63761246,6884.78427522,-3801.79362995,3834.20457761,lazy_college_senior,-661.587233391,-6526.23539213,116.933221602,213.782115039,1421.84626613,3760.55065692
-2479.20471029,1964.65474431,-1833.68504595,-1738.25571422,-4040.46711934,-655.954254551,-2253.45760311,-843.546091452,-943.105443744,-1379.76091072,-6335.21610405,-604.829692714,overly_attached_girlfriend,3418.39582029,7376.99505137,5201.48719256,-2968.42974402,5715.39555009,7880.06010174
-3011.82534588,11149.7550289,-8217.60168497,1648.12375751,-5357.11352662,16288.8424909,-650.878722202,1450.9862523,13342.1191285,-3819.91486297,1762.10755912,-743.622379525,business_cat,272.668555518,1882.12243863,-5369.19365602,-903.704995634,1155.40013403,-548.536640432
-20148.1830006,-15057.0543843,2990.35453566,-3278.77019545,-37.2833597378,2752.88685516,-3364.63220356,1621.82815893,-2345.36798411,-2211.47997655,-3318.92767314,-1394.72926254,first_day_on_the_internet_kid,-965.280103114,5318.62245692,841.319848743,-4439.80601034,2099.15951614,2098.10491373
11680.7838251,-16776.3301811,4030.9057068,-4196.02847542,-4762.81002343,-78.3247159627,-9605.16482786,-2038.04735881,1433.38719975,15577.5952531,-5174.30671368,-713.732943544,lazy_college_senior,-1279.58340442,-7067.90763022,-1923.06027531,-1190.47302119,8055.29552167,-5122.56729192
18486.9727239,-13770.0753659,6779.62680056,-8973.50768375,-6660.15730367,-841.925213685,6718.46915327,-3310.33837573,4303.80583042,3408.81141299,-4246.21005616,1740.14942477,sudden_clarity_clarence,223.200127257,530.985426809,2074.55546757,-1089.44961179,4850.14595066,2501.68758532
-2221.67690423,11572.7278745,31906.0756389,14798.1257587,1392.4592736,-1345.09688296,-2502.72197737,6211.92192594,4482.26718815,-1446.23858977,2447.11752738,-1170.83882361,socially_awkward_penguin,2361.6771874,-361.350269028,4608.38071483,-969.424579146,-892.963024721,-1328.90723177
