0,1,2,3,4,5,6,7,8,9,10,11,label
-2318.45865462,12234.0760516,23.2484281439,-1932.52307379,-3890.87549768,1392.28884918,-2411.40749512,-1145.84457659,-1808.45450964,-5592.7127121,-7412.65697396,-4507.91660896,confession_bear
-17707.8448019,-8903.11160591,-7831.91369113,15593.083131,2479.00499312,-3088.5317243,7703.60992069,-9292.31484595,2366.89385779,1727.93298977,-1973.5246255,1573.01964656,advice_god
16909.0009043,-13123.2636169,5454.52426049,-5329.79506265,-8324.22019186,-3377.92214229,-7807.47417896,-7045.75580399,6342.91713917,15077.2128776,-7538.11054573,-42.6127502651,lazy_college_senior
-5754.15344415,6785.37432017,29192.8566644,12867.4037087,532.762277268,-1478.22121876,-1798.98304783,6315.94886892,3142.5611,-502.078983849,738.979394577,-303.993587215,socially_awkward_penguin
-2817.13342096,7155.46281023,3069.90740975,-5634.00420813,-4423.63173667,-65.4481866942,1153.29031345,-1378.73243465,-2307.62041278,-3786.41714862,-4147.39412759,-2390.81899318,confession_bear
33722.2968249,-6383.13023954,-167.055357468,3581.19497763,4729.45207089,-1946.86890067,-1506.61958184,-7798.58678783,-1004.80157384,3910.20368298,480.464628317,-5085.31302182,bad_joke_eel
-2998.05478685,14460.9970821,3129.29916152,-8804.63547683,10829.3615766,-9204.78732494,3590.99189837,449.1563039,5188.34286767,1119.55553733,-4187.90435104,8321.60438237,bad_luck_brian
-3536.47853562,7525.19533536,-6443.13578175,815.792056016,-5741.54319769,12930.8175034,-490.817937311,1158.04467414,12355.3204572,-5445.99554234,3910.51066109,-2038.0317598,business_cat
-15185.2465336,-3919.08879988,-3265.09161495,-5026.64435899,9678.0786891,3207.86966994,5120.98347651,7202.6480072,-1933.83292208,8873.73799482,2124.26191846,-2924.17549318,college_liberal
2432.72924259,-13639.5033999,1711.16519278,-1901.79093857,-6333.34694314,431.842028321,-9561.96268539,1039.99323787,1584.47849178,7053.07114317,3248.68433865,3534.06038105,evil_toddler
-1131.80468749,16309.8775793,3791.40280163,-7736.10311183,10724.0703674,-9196.49666023,5640.93701662,-424.649280225,4796.60413588,515.918190495,-4801.08176282,8742.91438916,bad_luck_brian
5629.11054642,20145.3968775,2974.13483068,722.923250873,-5742.08464812,-585.540272448,3821.85221333,-7306.8494979,-8129.27353225,2887.70844646,4014.6578405,-5103.6118153,high_expectations_asian_father
-19047.3053408,-13626.4200844,823.364474868,-2207.99013659,-2352.65417453,5391.58277852,-2755.09015673,5207.13071497,-3001.10725606,-2957.15125787,-1093.73352487,1084.97174979,minor_mistake_marvin
4558.75744553,-11061.8727792,3431.99954294,-5305.73354832,-6764.89328846,-1577.88138171,-6398.45217051,281.455834989,342.037840022,6263.42253256,2419.07290838,1238.33602533,evil_toddler
-3193.09376523,10030.4404651,754.485696765,-2261.72372311,-3289.31435845,6992.14599414,4454.18290092,1809.42880875,-6791.33023075,1426.25321507,4056.64262497,647.640302896,philosoraptor
-17810.6657484,-11981.5076816,2790.67628987,-4248.95605621,-1164.82883588,1447.71180989,-2826.05593268,886.809018766,-5344.46507998,-5916.55689103,-8367.5140418,285.044727512,first_day_on_the_internet_kid
21497.9677569,-18927.5429017,9436.20853491,-12049.4812971,-6398.42128659,-628.655386512,15205.1609492,-1022.700062,3423.69762806,-5192.56132849,3310.32243025,-1041.84203746,sudden_clarity_clarence
-3365.25488544,12064.8926091,-490.939791853,-2926.51431997,-2555.52017346,3.9037097137,-1080.47007549,-2562.24724984,98.8568623272,-6258.08534533,-7634.26742907,-6895.99740086,confession_bear
29434.9922176,-1965.28260806,-5655.43711261,6210.29462423,8648.03729411,6909.13077856,-6417.04497294,2725.25771964,316.995942889,-849.524733622,449.920558976,7877.14468902,unpopular_opinion_puffin
34628.7157187,-6599.74128611,-1660.56700314,7255.64078347,6613.81010105,552.286855179,-4869.1847771,-4583.51996388,-3474.46378292,-4855.47652099,328.862394603,-3633.23401704,bad_joke_eel
31755.9897335,-5883.65021298,-2540.81382835,3934.72682708,9867.95140347,1682.37419157,-308.26214525,-3577.64095605,-5633.12405247,-7013.39375189,-2155.60915743,-5822.99540397,bad_joke_eel
-3592.09751247,15219.6544597,3453.31324398,-9041.23003305,10474.2168349,-7299.91394396,2840.30518657,377.751590866,6620.11967615,1686.98025192,-5448.08344344,8772.71560642,bad_luck_brian
-19285.4938813,-11870.4629074,-7692.79502004,17018.9435623,1463.81925141,-2564.99252186,7922.60002152,-8393.6562649,205.576803571,680.062570767,-459.927213663,2940.98434826,advice_god
26380.807188,-15127.4803726,2827.11920912,-1284.66639072,-6170.06120716,-403.406682535,-2946.26966947,-5116.93350827,7025.41588444,5065.99409076,-8063.41437549,-6705.71151186,sudden_clarity_clarence
-3316.67907037,13352.6247009,4272.83108588,-10414.4706029,10710.803758,-9320.05070274,4778.15474032,-162.117027428,6355.84843202,1885.38653027,-5069.26734611,7763.48930105,bad_luck_brian
-3625.80178736,15108.4417953,2307.88853475,-7011.94273939,11714.322021,-6799.69360208,2176.9724229,1581.55865031,4412.95488298,-990.513718675,-5486.82201309,9087.41548827,bad_luck_brian
-18180.3685217,-12709.4413615,3071.60116042,-4511.39693993,-1898.64462459,2430.34564493,-2853.74969711,1280.95474614,-5838.73467842,-7790.49001429,-6717.46071519,299.549148086,first_day_on_the_internet_kid
14212.616716,-12241.5022629,3907.61257451,-2745.03937314,-7214.40465939,503.828313791,-6335.13060898,-4258.15374553,6348.15756773,10021.1102096,-4438.36397254,384.67655676,lazy_college_senior
7583.9849492,-3743.99230828,-6199.57314389,317.421789364,-1946.49671943,913.392045406,-2575.30932107,1674.33014826,-3902.24617831,1161.78360923,2094.90250397,-3144.30922837,philosoraptor
-2554.78804173,11630.4016251,473.859801903,-2851.5109523,-4101.04774497,1936.11832533,-1139.83216567,-411.758512806,-2160.83505021,-5153.31377709,-8078.30104503,-3050.93274106,confession_bear
-18009.3482763,-12679.3462363,2854.01420188,-4413.30591568,-1447.67848931,1020.68921963,-2899.47597538,1523.37382791,-5862.46736426,-6403.07286621,-7316.01775511,502.226023361,first_day_on_the_internet_kid
19070.5308088,-15649.8297436,8554.50123756,-7201.82665964,-3621.32051144,1123.5846161,9784.41943233,-577.478750777,-2295.66469877,2013.51458826,1864.42203569,4313.63122067,sudden_clarity_clarence
