0,1,2,3,4,label
-19047.3039027,-13626.9987882,825.887558018,-2110.04134962,-2341.00201264,minor_mistake_marvin
4558.67485317,-11062.5781486,3426.23144139,-5252.19866159,-6698.69806973,evil_toddler
-3192.97624607,10029.8594233,747.905879666,-2147.79821728,-3218.38113447,philosoraptor
-17810.4231141,-11978.795723,2792.79253533,-4454.4904301,-1289.36195849,first_day_on_the_internet_kid
21497.9886422,-18926.6227257,9431.17623786,-12030.0733677,-6307.19624712,sudden_clarity_clarence
-3365.44489916,12063.9079731,-505.348369583,-2866.58731517,-2370.87827993,confession_bear
29435.1963427,-1963.39054408,-5669.31729031,6303.82258753,8839.38212032,unpopular_opinion_puffin
34628.4427525,-6603.34493448,-1656.53179557,7147.92143441,6448.82170091,bad_joke_eel
31756.0623095,-5882.75446284,-2537.56062827,3871.73395405,9837.76367853,bad_joke_eel
-3592.02109469,15219.9899422,3449.54484803,-8982.18538737,10550.6516467,bad_luck_brian
-19285.4265308,-11870.0902132,-7697.1077806,17115.8948823,1612.92615475,advice_god
26380.4289144,-15131.0901738,2822.2126902,-1416.13917247,-6299.76043864,sudden_clarity_clarence
-3316.61764784,13353.1688538,4269.75139278,-10368.1039674,10775.0165065,bad_luck_brian
-3625.74270421,15108.0934456,2307.81518404,-6964.403024,11741.5151916,bad_luck_brian
-18180.0748082,-12706.4414685,3070.52146037,-4677.30335729,-1960.62483162,first_day_on_the_internet_kid
14212.8066795,-12239.2417871,3901.63229291,-2602.13032633,-7039.55502068,lazy_college_senior
7583.97456432,-3745.15552535,-6194.97305286,307.089384935,-2013.07917014,philosoraptor
-2555.02333504,11627.6392311,471.112793378,-2744.57300377,-4042.68262852,confession_bear
-18009.1429621,-12677.0774579,2857.53104488,-4612.46299767,-1584.82276342,first_day_on_the_internet_kid
19070.2074416,-15653.5901457,8568.17795072,-7228.76514103,-3759.75025869,sudden_clarity_clarence
24613.8325564,-8403.01105402,-10430.949582,4176.04157069,131.565928668,business_cat
