a,b,c,d,e,f,g,h,i,label
-18118.6930485,-11246.6196022,-294.671816737,-1429.14533913,463.288847154,2973.37380347,-1448.39381919,4592.82218168,-3002.20119694,minor_mistake_marvin
-899.500881865,10636.6140763,-191.201768598,-575.498949171,-3573.06818411,4705.92951709,1396.78264425,430.155259746,-4253.89775086,philosoraptor
7958.32639234,21342.1749866,2841.60270543,920.490952057,-7381.98060394,172.79331352,3349.00014654,-7643.90407965,-9978.71370268,high_expectations_asian_father
32787.252133,-2320.78012349,-4691.84488782,6812.06649112,9999.13010579,5765.15136269,-3647.52722143,2114.50899734,-6260.21465389,unpopular_opinion_puffin
21062.6917969,-9831.56245638,2347.74452551,102.410761996,-2537.7025275,-1048.16870435,-3526.39309903,-4264.48722341,7323.11880447,unpopular_opinion_puffin
-11783.4679316,724.670927302,-2651.49408264,-9389.66630033,8463.83584926,-8191.78385286,-8144.29396573,-7035.68810152,3229.6958623,sheltered_college_freshman
225.433766603,12736.4108942,-6238.61599578,-938.121742832,-4565.77353298,1948.54085194,-2838.5277263,-845.179020889,-1489.89458315,good_guy_greg
-14638.5631778,-1363.06977103,-5264.72223202,-3676.11460577,11124.9504929,4193.39364274,4220.09228751,6411.51387029,-1706.70210562,college_liberal
-14815.4719404,-2289.36535856,-4911.03323743,-4870.17871072,10849.3215792,4761.33086627,5752.10607505,7526.02111666,-2437.42662079,college_liberal
24905.078221,-3681.04243502,-3943.09465834,4729.51598752,11798.208103,9171.34701052,-3727.20495007,5247.44814125,-4087.21850913,unpopular_opinion_puffin
-14686.0175337,-765.749459205,-5226.22001097,-3940.60568156,11212.576689,4542.97916545,4422.12889461,7085.38031653,-2222.47369972,college_liberal
-19418.7309132,-11746.6982977,-8381.08830099,17507.3052019,1260.65124078,-2812.55454576,8410.86461193,-10112.3170312,1871.49566865,advice_god
-2318.37980573,12234.0245081,23.6214968101,-1939.51467482,-3924.97801443,1434.37252775,-2422.64182846,-1183.97315768,-1621.17286522,confession_bear
-17707.827403,-8903.1985693,-7831.96695484,15589.2976522,2483.63455876,-3116.14597373,7699.75859748,-9278.30624798,2353.90860668,advice_god
16908.8543719,-13123.9328078,5454.56792725,-5310.43292928,-8293.37029362,-3355.25254413,-7726.97913281,-7059.66465595,6055.21340492,lazy_college_senior
-5754.17550434,6785.36695184,29193.106739,12863.1734879,547.179021959,-1490.83953256,-1836.64885586,6296.24187847,3071.71653165,socially_awkward_penguin
-2817.09937246,7155.13454161,3066.87245428,-5643.23962045,-4440.24008336,-13.9956512722,1194.09630904,-1369.01908785,-2118.52406344,confession_bear
33722.3294419,-6381.96634038,-164.322869068,3566.81902705,4733.6177652,-1908.93969512,-1634.36840828,-7684.4273898,-954.275736761,bad_joke_eel
-2998.03871058,14461.06369,3130.45908803,-8800.44701694,10826.3958041,-9228.05343429,3600.86766675,435.844654434,5178.10832372,bad_luck_brian
-3536.48671948,7524.76743305,-6442.73294195,819.971289884,-5744.57044491,12942.1279781,-458.901060002,1151.88662217,12363.2649032,business_cat
-15185.1637865,-3919.15079097,-3266.35985882,-5040.94840235,9657.17062386,3179.03497762,5073.8100939,7182.4347529,-1938.78951464,college_liberal
2432.82768933,-13639.5185864,1710.70970347,-1912.64332076,-6364.6227988,401.953352183,-9573.30039332,967.838162729,1859.41127635,evil_toddler
-1131.79311689,16310.2769767,3790.95887318,-7734.65689792,10721.2326348,-9174.64815422,5643.07944846,-393.684312928,4744.79410838,bad_luck_brian
5629.17216073,20144.9979969,2972.96644009,725.077399172,-5768.47868293,-633.207788452,3851.23423418,-7397.32008276,-8013.21079979,high_expectations_asian_father
-19047.3006722,-13627.0251399,823.115890923,-2194.92682825,-2356.49739389,5368.17828291,-2740.57229152,5097.47788768,-3056.62228877,minor_mistake_marvin
4558.82491379,-11061.7461448,3431.97906093,-5312.02846917,-6790.88025701,-1596.38022268,-6377.58465061,219.192441949,553.914133527,evil_toddler
-3193.14596456,10031.0950594,755.752474261,-2267.4466466,-3268.51290576,7011.42671226,4424.12571131,1861.15989054,-6872.49757183,philosoraptor
-17810.6763257,-11981.4230115,2792.79137459,-4261.41723723,-1169.7209159,1444.59583821,-2854.306099,980.993640652,-5312.43294619,first_day_on_the_internet_kid
21497.9567553,-18927.6209888,9438.05452492,-12043.0780328,-6409.32118215,-634.951465536,15230.5618955,-992.744114157,3547.07858526,sudden_clarity_clarence
-3365.18404075,12064.8565554,-492.830724683,-2938.86124474,-2579.62832522,5.31579569026,-1088.58951813,-2529.22832047,424.117850095,confession_bear
29434.9886061,-1965.57504875,-5658.83763108,6191.43121726,8643.90058942,6896.47910561,-6381.6100584,2716.55548912,277.634040619,unpopular_opinion_puffin
34628.7464883,-6599.13742236,-1665.20317872,7216.36313094,6614.65486917,594.112583406,-4931.12910163,-4568.79711681,-3583.90068602,bad_joke_eel
31756.003847,-5883.91946939,-2541.59170705,3933.99617084,9875.1989222,1625.69943318,-316.994889764,-3644.60891855,-5610.59282161,bad_joke_eel
-3592.16256366,15220.4167982,3454.98701779,-9033.23599616,10487.1954729,-7259.12199006,2895.03621023,368.930957906,6532.68623172,bad_luck_brian
-19285.4989827,-11870.6212322,-7691.2705669,17026.3938039,1454.06666714,-2552.88085727,7928.79020322,-8405.71290139,221.306760582,advice_god
26380.852928,-15126.9805269,2824.53984109,-1297.88949051,-6139.65666791,-457.054087828,-3060.42975231,-5030.92848334,6679.72279298,sudden_clarity_clarence
-3316.70956855,13352.822902,4272.22129826,-10402.4775375,10716.3988501,-9307.03992139,4862.52179541,-120.809088758,6382.81081514,bad_luck_brian
-3625.82094431,15108.4026098,2308.88771208,-7015.97575682,11713.686019,-6798.3702478,2154.17190784,1515.71543327,4248.37592618,bad_luck_brian
-18180.4015067,-12709.3546989,3074.09363089,-4517.18837401,-1903.71455495,2440.52503929,-2869.29931348,1375.55109484,-5798.48125026,first_day_on_the_internet_kid
14212.4951866,-12242.7933609,3905.39185031,-2728.1078535,-7193.13482019,535.831105799,-6223.56921726,-4257.6457269,6360.00846514,lazy_college_senior
7584.02805928,-3744.18961911,-6201.22271704,309.913465169,-1953.85965278,876.563358427,-2628.66166561,1608.96613003,-3842.13905193,philosoraptor
-2554.70246354,11630.2658024,474.355215505,-2863.05459127,-4131.44996662,1977.72229591,-1151.93844359,-466.102107467,-2043.31833888,confession_bear
-18009.3586457,-12679.1370106,2857.28913415,-4421.44895717,-1454.0217552,1021.3333312,-2941.1665167,1602.44370089,-5852.45783108,first_day_on_the_internet_kid
19070.6114269,-15648.7445299,8562.91422806,-7204.02420671,-3664.13007268,1254.31865684,9656.68436523,-621.653195128,-2381.45494239,sudden_clarity_clarence
24613.8492609,-8401.9956532,-10449.2441138,4303.79624586,379.637897966,13625.8600337,-6167.86177557,5355.08133472,19011.6839305,business_cat
-17744.9701088,-10512.0707609,-747.129030158,1907.9329685,-2183.88754974,2811.67380606,-3265.09714516,1472.62836092,-1307.40740099,minor_mistake_marvin
5212.40412074,18924.3811194,4506.62885908,-250.295307107,-6828.33047861,1726.70337177,5166.92573165,-6164.96289866,-12305.4804555,high_expectations_asian_father
-3626.37719165,7285.19024922,-6914.63632106,351.291593434,-7807.10485677,-9547.92211235,2191.29332565,3514.13345494,1078.39669221,paranoid_parrot
32853.071245,-5335.21013267,-2690.81912351,4027.13877178,9598.00761318,906.433850542,-911.696215435,-5185.69602294,-3593.45167849,bad_joke_eel
31959.6277275,-7328.45969591,-896.148071807,3466.38577716,8803.24488354,1309.59679131,-771.961164136,-4067.2293542,-4379.37693372,bad_joke_eel
6527.05705692,21371.5522246,2630.89051933,229.635223047,-6533.22599758,2984.70444623,3897.95173257,-5202.30860254,-11416.6363308,high_expectations_asian_father
-14767.5216594,-1662.66479605,-5288.14307006,-4386.38515728,10887.6174427,4491.1574509,5010.61153338,6809.16182593,-2318.1978585,college_liberal
-11262.9296452,1582.32802722,-3389.98458576,-9301.95395103,9363.83147259,-9285.83719499,-7502.70358629,-7973.93890407,4241.22205382,sheltered_college_freshman
-7313.1229656,510.163557572,79.8600118554,-3041.7758902,-2990.73485609,-3949.81981147,-7314.28464563,-4275.96268729,-3919.41330106,sheltered_college_freshman
24819.6229222,-5789.7064603,-4757.96450534,6183.55548828,14354.9853876,8895.76590124,-5691.18523115,7070.68768258,-7034.53922829,unpopular_opinion_puffin
32121.6898432,-3827.33305838,-1119.36264824,2302.02885724,7754.85096416,114.577752692,3443.23434679,-5166.33517919,-1663.43780743,bad_joke_eel
-2481.69723605,11632.1898637,-218.916007343,-935.2810676,-3997.00576402,6233.98181092,2427.21079364,659.767017755,-6571.21314672,philosoraptor
-19032.3689825,-13851.5379541,1959.28547111,-2890.71854486,1843.73500298,879.984258653,-2339.47268828,673.146831836,-2938.131817,first_day_on_the_internet_kid
-2765.45399716,13208.1085656,-6209.12476545,-2649.87709097,-3540.83429189,1771.29823741,-4850.2696589,-2618.28002057,4414.8203674,good_guy_greg
-2880.95579188,14343.7083519,3473.25660411,-8202.59935513,12135.6590629,-9022.51163817,4244.7675771,-209.233188275,6215.72389,bad_luck_brian
-19165.772372,-11742.551444,-8588.93536326,17443.1024721,1820.39678789,-2537.7675812,9311.1555753,-9186.81247544,1776.74354202,advice_god
-11116.2413262,1808.7841432,-2660.07023308,-8775.1060383,8895.51350517,-9319.84698919,-8088.6733347,-8189.89951535,4622.10636122,sheltered_college_freshman
-7423.5284161,-95.4741369927,-275.328038744,-4113.8946179,-2892.85720931,-2602.02848228,-8095.72897532,-4054.38887526,-4900.75170798,sheltered_college_freshman
-18731.5249024,-12353.8059989,-600.502003271,2160.27251829,-2507.12387953,4462.83370977,-4037.90572544,2892.60840884,-2258.04808155,minor_mistake_marvin
141.914237026,15760.6484337,3967.05013802,-2662.80017976,-2407.17260142,814.574823792,3367.21839286,-3810.78493885,-9623.09127166,high_expectations_asian_father
-15070.8420965,-1706.92428022,-5091.25838448,-4170.13501974,10585.9236266,4826.74041455,4094.6991656,6780.29522765,-2770.83914898,college_liberal
24311.2653991,-5731.09962053,-4283.65206233,4906.75944027,12205.4892733,9937.24722634,-6014.27125009,7385.16908203,-4410.70658452,unpopular_opinion_puffin
-19277.0064473,-14813.5105816,2577.8331187,-4535.36492347,-108.716334471,1591.5780821,-1251.15588161,876.967727011,-2543.61638122,first_day_on_the_internet_kid
-15109.2837527,-1945.86392785,-5066.91877553,-4055.36426295,10712.5360536,4580.2827128,4694.40473618,6661.28601021,-2496.09295919,college_liberal
-1751.50867099,12594.6410453,-157.697175996,-1581.40999323,-3959.71082758,4918.08318203,3760.9383613,-360.123813519,-6525.67328555,philosoraptor
-3386.70860662,14718.850062,3128.78350763,-7812.44949227,10850.4489951,-7832.05225503,686.604611346,-1001.22514638,5414.57315827,bad_luck_brian
9087.43148057,5814.47233207,-8493.48171377,-3219.55414002,-3629.16187565,5069.87886065,996.482450573,7238.6479229,2383.008868,business_cat
15619.3507076,1639.39570755,-14209.7373008,7320.28235348,-3782.04042701,-16242.3813887,3614.69197965,16243.0203774,-1140.31024087,paranoid_parrot
-19674.6432134,-12424.061333,-7003.64787131,16954.2826615,572.375095288,-1510.08879899,8396.81238632,-8336.47530868,1321.39426922,advice_god
-14994.099428,-1294.39401901,-5322.75583238,-3660.27784457,10761.7814733,4684.05270929,4782.66365413,6565.01666918,-1658.68744104,college_liberal
