a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s
-14686.0617641,-765.941832111,-5225.94775956,-3937.83538064,11223.6381005,4552.55404184,4452.48690602,7076.19830983,-2224.59043534,9842.00911507,624.702279612,-5314.84796103,college_liberal,4524.34827219,926.876136776,2881.09639819,1128.23289903,-4062.35270342,-2355.05983779,-863.326143016
-19418.7096847,-11746.5680886,-8381.4822607,17503.7650825,1263.01001065,-2817.85916075,8378.07131863,-10114.6018587,1854.67596276,601.081593718,-1931.99573158,2636.23575365,advice_god,-2076.94798194,-2545.20157185,2210.98604041,-136.606025447,43.2685527388,-1138.11915762,1530.57180168
-2318.43303247,12234.4025436,24.2704110371,-1934.10016702,-3882.74765679,1410.5417469,-2415.77528039,-1149.25556529,-1862.73144742,-5643.02494791,-7455.68103987,-4566.37045933,confession_bear,561.470872215,-7556.93445895,2035.58382169,4914.04921398,-2634.23950193,2509.15889911,-2274.06241951
-17707.8368337,-8903.2148196,-7831.96806015,15592.6640641,2478.73100864,-3095.41027333,7700.53530029,-9280.43656914,2369.40232362,1727.54600411,-1986.17171549,1567.77578814,advice_god,-155.577313311,-835.349266311,681.807431516,-901.896796959,2334.67137121,-1691.13065106,-591.010261495
16909.0073521,-13123.2325875,5451.76937912,-5320.42278591,-8334.8368648,-3395.58128087,-7800.2733161,-6997.57528612,6336.65381634,15023.9915137,-7784.3902202,-62.2555527263,lazy_college_senior,2709.51018793,-4127.06116746,606.907753559,-2319.42835421,5950.64477275,-5744.86337206,7140.88311762
-5754.16604746,6785.1554697,29193.388174,12867.7067356,529.783499856,-1487.98805836,-1821.89763336,6315.16225562,3151.23796287,-460.428047229,794.662372907,-254.189126222,socially_awkward_penguin,550.444088205,830.094703048,1744.70003973,373.696837846,182.375229723,1010.37319271,-2487.46323086
-2817.14109714,7155.62623986,3068.43607864,-5640.55230617,-4415.79123954,-24.0390135904,1175.28844481,-1326.16015299,-2262.67664363,-3865.96400275,-4463.86252979,-2397.71022042,confession_bear,1654.75470818,-8109.2374648,1440.89451327,1067.21518822,-0.798396704322,1308.46332527,-250.429930893
33722.2771076,-6383.0246067,-164.35270349,3571.65276736,4745.19686485,-1882.53114861,-1519.94341858,-7734.01643218,-918.644978356,3895.69245004,192.6326501,-4939.44638143,bad_joke_eel,3272.41545454,2465.6808919,-6360.88719675,-595.177584368,778.883355711,6244.6719897,-9741.57466685
-2998.04259517,14461.0877322,3129.38138725,-8802.0014884,10826.3773041,-9222.03663346,3594.50340252,425.224053956,5176.47295159,1117.32742153,-4100.38084905,8312.14397507,bad_luck_brian,942.740661681,829.719300049,-4856.32788946,1310.04552712,521.006457793,-541.344739098,402.366707357
-3536.4668729,7525.04976115,-6443.14763303,813.537888719,-5737.53926188,12932.5455033,-497.060507259,1143.01338288,12309.9630189,-5478.38046401,3893.14682806,-2101.02559333,business_cat,1568.46219363,1106.69526634,-3387.48133663,133.23063275,56.0278219831,-3268.18476625,2728.69179076
-15185.2412085,-3919.25064247,-3265.46418926,-5028.93587384,9670.40512586,3200.05884213,5120.23065846,7198.60550198,-1978.3839265,8897.16493321,2011.28406875,-2921.06650314,college_liberal,4503.48814196,779.231631412,1441.55594962,137.819490442,-5161.59488476,-496.20791186,-2300.75202415
2432.71759444,-13639.6386606,1712.37539541,-1900.89360799,-6328.53999947,419.163150178,-9549.11130526,981.215912067,1629.55120436,7008.60476425,3407.40942292,3561.5337309,evil_toddler,-3648.35951241,-5783.17845415,-4393.14837457,408.800632251,-5701.2884557,-1115.76121464,-2570.35977288
-1131.79918062,16310.0242577,3790.11524044,-7735.03460601,10723.6372903,-9183.98033196,5664.69752986,-412.273259661,4778.46646594,472.060722639,-4872.1744602,8756.57556276,bad_luck_brian,1257.36795093,1071.92379593,-5304.61255737,719.663392108,-1249.52519723,467.77799294,711.926476667
5629.1205144,20145.4464598,2974.91359729,725.420876253,-5743.49002617,-612.735069047,3825.39709727,-7399.13810509,-8149.06174173,2886.43078815,4248.96270567,-5202.24768743,high_expectations_asian_father,-4229.73016897,7774.70431205,-2653.34406003,1699.05981291,-4516.38440037,-726.504161681,4410.29084682
-19047.3032405,-13626.4426103,825.0192946,-2204.13824453,-2353.30050965,5342.70609572,-2767.47464698,5102.81207861,-3017.02537675,-2851.890483,-641.805064058,1025.52918471,minor_mistake_marvin,-2935.10361844,-2575.74517884,-3578.30145108,2400.42364471,-1302.22344614,4089.4540123,6627.62294284
4558.76914021,-11061.7662064,3432.82644482,-5303.53627453,-6765.2750736,-1586.80931675,-6382.15202354,243.113178553,348.597701215,6210.46919695,2576.98025869,1198.00764809,evil_toddler,-4037.5254521,-5667.67417533,-4291.41777433,-289.515680247,-3424.0312624,-1142.19876717,-1242.29108438
-3193.09915623,10030.3635975,753.877292113,-2262.8536972,-3294.10360808,7010.1326539,4469.22072104,1861.69351795,-6764.45266216,1431.09847308,4037.05251171,650.198054845,philosoraptor,-2613.25755455,-5319.17302524,873.984631275,-1493.62878904,6082.96134064,-2002.34290886,-3857.87270235
