a,b,c,d,e,f,label
141.782993805,15760.9942253,3968.50831932,-2650.92080743,-2356.19353651,841.325119268,high_expectations_asian_father
-15070.8955863,-1708.19368915,-5090.30700027,-4184.97307982,10611.616666,4817.25336855,college_liberal
24311.2288491,-5733.09529849,-4275.01633066,4860.16727025,12170.3128152,9936.48571721,unpopular_opinion_puffin
-19276.8066916,-14811.2237644,2575.56954578,-4536.64557583,-179.681229819,1704.98737229,first_day_on_the_internet_kid
-15109.3337008,-1947.18883428,-5065.57172937,-4073.17330724,10724.3238869,4576.55719765,college_liberal
-1751.44185648,12596.0265263,-171.176494275,-1572.03137217,-3955.45724212,4840.92230666,philosoraptor
-3386.66080635,14719.175251,3127.6447109,-7807.89136955,10860.0177875,-7919.51869374,bad_luck_brian
9087.40637243,5815.57783147,-8489.4782621,-3176.14705239,-3625.21476593,5043.06802563,business_cat
15619.3733084,1639.42075819,-14214.3937357,7318.85375552,-3806.82831327,-16255.770245,paranoid_parrot
-19674.688406,-12424.6467018,-7003.27006153,16946.0557554,565.257809549,-1507.34409131,advice_god
-14994.1610782,-1296.0676135,-5319.80330917,-3681.7559415,10763.4398176,4714.14729333,college_liberal
-7968.29135688,7213.42430996,-1091.79836614,-2866.37052597,2855.46414633,2172.81856376,philosoraptor
1004.74194848,-13143.7693999,1450.59649572,-3151.63462566,-5530.03891398,-813.737753448,evil_toddler
-511.517118877,11713.0244413,-350.755952118,-1165.19802365,-3218.68960279,4497.52109919,philosoraptor
1102.55919958,-12877.2587044,1139.89956836,-2663.83819219,-5704.27711646,-738.945803619,evil_toddler
-19416.9541859,-11686.903504,-8715.61697064,18098.0820966,2775.84645472,-3799.14319691,advice_god
-1650.05843334,12079.0743191,-5047.85859897,-2737.80075449,-5954.59945171,1216.94320267,good_guy_greg
-2436.866894,11068.7196407,242.790583667,-1213.94600245,-3874.47265004,6192.93535603,philosoraptor
-19180.9205547,-11032.5287636,-8345.68239374,16835.3193247,2401.24080423,-3467.4340507,advice_god
-14818.191742,-1299.17061382,-4696.01774301,-3355.60323545,10475.4247579,4303.36501684,college_liberal
19002.1908144,-18429.3080827,9637.40426016,-12983.623999,-6545.70983913,-1357.43426612,sudden_clarity_clarence
17232.1463196,3513.96928225,-6990.61686676,1468.38952185,-3139.04932945,-584.242587903,good_guy_greg
18440.34314,-18798.5474801,10139.172048,-12303.3808773,-5283.79910547,-336.023408739,sudden_clarity_clarence
2258.47823259,-13387.962204,1298.64249767,-1870.4475706,-5064.6254839,-1696.31753664,evil_toddler
-4565.78676157,9592.75557717,1625.83148973,-3967.84763471,-2739.31002706,735.105714218,confession_bear
20384.3155353,-18334.0426765,9974.58385199,-13215.7693621,-5657.12822811,-409.540630366,sudden_clarity_clarence
-2692.06070491,10849.6179593,-8172.32495113,-45.355460086,-5134.3799911,17021.8762743,business_cat
-50.6204830787,12268.0735351,7058.96617737,-1290.19455959,2366.1837827,4604.65489352,religion_pigeon
-18367.6176269,-11209.9569941,-1027.31350475,1813.11058196,-2555.10612831,3471.78855223,minor_mistake_marvin
-17527.5473294,-12094.7686782,2473.13735625,-4318.84769058,-239.912826137,1058.82422505,first_day_on_the_internet_kid
950.38366456,4430.63477805,30423.8092611,13628.2402313,2922.37638494,119.474272034,socially_awkward_penguin
30476.400639,-3876.76573581,-5287.29586746,6224.93751203,9711.95767467,5992.6766622,unpopular_opinion_puffin
-4982.00206385,4180.18987645,-4853.57066713,-2010.1675894,-2615.23983732,-8434.11574476,paranoid_parrot
-18428.8187214,-13052.7798315,2943.65192664,-4275.8648304,-1622.59781391,1979.23256779,first_day_on_the_internet_kid
522.13970315,11730.575749,-5976.10644648,-2869.44789427,-4228.20830744,2481.10562651,good_guy_greg
11146.505352,-13914.8157145,4548.64865736,-3804.7847891,-6467.58190166,-505.855467198,lazy_college_senior
-20048.44791,-14641.6851792,2395.66446701,-2667.51375584,191.064891758,3671.87048245,first_day_on_the_internet_kid
-3106.81278745,10326.1926107,-8010.77259955,722.836347317,-4486.21175139,16629.0535373,business_cat
-3589.18190376,13601.7351616,4476.42624484,-8927.9316327,9950.1433578,-7198.36204925,bad_luck_brian
33761.0955333,-5253.05329399,-1162.50554925,1778.08769703,7493.2698473,-1043.6320567,bad_joke_eel
29085.929485,-6605.95040166,-4288.37240671,3576.80051034,11056.2288558,9117.66748314,unpopular_opinion_puffin
-18963.0406024,-14101.5886583,3497.42377271,-5739.41453449,-2741.23660477,2544.39083922,first_day_on_the_internet_kid
-3632.4889348,6460.58748356,28845.3314102,13004.8490892,3137.41615277,-234.297571568,socially_awkward_penguin
-10186.1265859,2183.45975032,-2763.3294719,-8822.79340849,8086.33540755,-8769.77491806,sheltered_college_freshman
1285.16841793,13226.0732402,-10175.71756,5135.74933476,-8488.21048101,-11849.9307137,paranoid_parrot
-18267.1841174,-12535.025982,2346.43595123,-4541.06513208,-1305.77388204,2765.423899,first_day_on_the_internet_kid
29662.4662298,-3153.82193207,-3931.99230441,4687.52040323,10078.5675325,6203.63502057,unpopular_opinion_puffin
4313.74215781,-212.140363542,4508.45773354,-1080.40717017,-10181.7724698,-727.453355962,lazy_college_senior
-17458.1798491,-10247.9603008,-520.682028719,2068.54727387,-2638.3611188,1648.94551066,minor_mistake_marvin
15962.0428828,1563.36021185,-14753.9759335,8437.26662397,-5483.03230517,-16398.54211,paranoid_parrot
-3863.17354082,12079.8235868,-539.852152692,-2934.83777746,-2250.83600325,631.026916626,confession_bear
-8466.51393925,-399.670558002,21440.742508,12050.5628275,318.602746794,-1959.76194841,socially_awkward_penguin
-3694.19682125,13532.1091901,2823.76316525,-7780.70784218,11831.5646301,-6870.98357515,bad_luck_brian
-3393.7377447,12290.1043022,-356.422213652,-1801.41154647,-3122.19520292,-449.703852215,confession_bear
1234.51221753,-13263.9397951,1255.89564746,-1835.67814251,-6122.31887675,-543.598870839,evil_toddler
-14772.530067,-1650.53948699,-5150.11624205,-4581.86550283,10884.7475796,4626.13082373,college_liberal
19783.3587741,-11606.3558924,2299.01498753,198.480404485,-3004.63123881,1293.63494499,unpopular_opinion_puffin
24892.4576467,-13647.3044772,2064.69438854,9.2986430944,-5667.28329999,-171.768169748,sudden_clarity_clarence
25739.8242472,-2441.51723369,-4041.22245035,4556.41423121,10569.7142441,9691.30607892,unpopular_opinion_puffin
-5733.08521383,9029.44470775,233.037113396,-5592.82370922,-953.486874626,-1264.22633731,confession_bear
16484.0640708,-20935.4227307,9287.21236126,-12499.9525437,-4258.52577973,1865.25409402,sudden_clarity_clarence
-17347.7403221,-9392.77237879,-1151.80672016,-321.682822603,1057.88499505,1778.78551805,minor_mistake_marvin
-18699.1962482,-10559.0994449,-8116.08755739,16600.6124033,1472.37357162,-2951.64640464,advice_god
346.09930164,13163.087734,-6076.54692704,-823.980792258,-7028.72204024,2438.02043525,good_guy_greg
27345.2454269,-2063.37365922,-5507.18725573,6476.3303103,9452.10322679,7532.27802455,unpopular_opinion_puffin
-6434.49520979,5120.35521439,25424.7389776,12837.7028108,846.949580601,-1755.86529629,socially_awkward_penguin
34781.5884096,-5000.55362986,-4827.84975565,8455.84098117,7924.28143721,8976.68363068,unpopular_opinion_puffin
15242.3386939,1880.84854843,-13865.1750159,6342.3426365,-7344.16896407,-16519.0356336,paranoid_parrot
493.479754479,-13994.960271,1487.71040915,-2700.89377495,-4662.28882989,-456.570433396,evil_toddler
20103.991208,-10562.7628383,1829.68138646,-760.073912688,-2324.09775962,1204.5478769,unpopular_opinion_puffin
-4882.72341097,3824.11880286,-1401.95268113,-4257.04427328,-2563.52416254,-2884.20927175,sheltered_college_freshman
-2800.11244486,11244.2681168,-8474.54773371,466.727151317,-4828.40039689,15767.9449291,business_cat
-4642.31542206,8618.53671764,27364.5733958,14121.2810506,2140.5400571,-1301.1730245,socially_awkward_penguin
-18478.0367062,-9134.36824338,-8486.68084946,16511.0513103,2798.39351712,-3502.39857982,advice_god
-14216.6040384,-1463.65549273,-4785.83664942,-4476.15070444,10232.177668,3490.4853531,college_liberal
31052.7679108,-3939.92525301,-1747.84188673,2314.78366694,9355.1792011,704.028485266,bad_joke_eel
16746.0105804,-18334.198914,9843.44531575,-12456.0057895,-6287.76859348,-676.846782142,sudden_clarity_clarence
-6195.850522,-8190.68491507,-1590.50387963,-8308.21460853,166.386994828,-2508.36328603,overly_attached_girlfriend
-11922.7341009,-6458.31999732,-1823.67482529,-2955.37889877,-1347.67761389,-1452.87280808,overly_attached_girlfriend
25487.6127417,-5397.72208339,-3269.83571382,5236.94676382,10949.571088,7094.64604947,unpopular_opinion_puffin
-4116.4710056,11250.2550327,-2804.70263504,263.294387976,-2964.68230847,1371.43722049,confession_bear
20446.1309485,-18657.735478,10198.2244493,-13151.9804256,-8730.8902487,1889.6664267,sudden_clarity_clarence
-4908.87613671,8055.53582368,28199.8474476,13101.3003091,2378.63342858,-696.201266655,socially_awkward_penguin
7892.75512576,20538.5198632,2999.5750665,2133.1922678,-7654.16481892,763.320251037,high_expectations_asian_father
530.741199425,11977.5575202,-5525.19748823,-3865.45659016,-4323.59929502,1897.3843572,good_guy_greg
-18193.8561252,-11252.0439057,151.547962312,-1083.04286637,76.3865725096,2766.94490936,minor_mistake_marvin
7442.25414408,18483.2990552,3239.5869481,705.95442545,-6851.48572311,462.896930935,high_expectations_asian_father
22704.6297944,-19381.3232248,10459.5650275,-13458.5434248,-6011.56382161,-770.065449049,sudden_clarity_clarence
44.2992882578,-14492.2101294,1684.56650372,-2028.85189922,-5232.86299762,-346.09349667,evil_toddler
-1813.2867928,16528.8546539,3331.2386602,-6322.67582963,9970.35260113,-7863.88809858,bad_luck_brian
30619.6757365,-3594.78065503,-2142.48922903,4635.54493153,9143.65164688,2313.72640676,bad_joke_eel
-979.436800301,12121.2273238,-368.78756589,-1957.85071973,-3449.3948863,4994.25085946,philosoraptor
-3249.78633856,10836.858209,-7880.46941845,1642.35829567,-4329.95054202,15123.187516,business_cat
-10003.0697841,-8236.13105984,8666.14249338,-8262.34576615,-7510.30443154,2055.58068872,lazy_college_senior
-3376.36650081,12121.8848629,283.527552019,-3279.90802062,-2605.54144665,181.142717806,confession_bear
-441.63444885,13523.7507179,-5305.72058742,-3229.08221117,-6375.94812565,56.0915875284,good_guy_greg
-3346.11856319,14049.7228593,2861.05046389,-8770.10402203,9897.67211592,-7520.47095871,bad_luck_brian
-4815.35788634,4204.48672607,-1434.0349069,-3028.7196623,-2729.54705899,-2558.40417726,sheltered_college_freshman
-4995.36837843,9558.58354055,-10501.6734351,2370.83372895,-1399.48563045,17123.3982715,business_cat
32325.4776075,-6828.47557445,-617.64771407,2081.80219536,7243.14353861,349.986403943,bad_joke_eel
-2665.55369576,10147.6133084,546.187088663,-3113.04255172,-2834.74695283,5284.05543855,philosoraptor
-19467.2380489,-10889.1787149,-7932.75063945,16682.5375045,1873.17277383,-1648.40881763,advice_god
-8664.6752841,-203.063941269,-2563.77351204,-95.1469805665,-3432.2810403,1490.44431478,evil_toddler
21198.1528298,-17773.6478084,9748.19211023,-14088.2072637,-4920.44918046,1738.53840992,sudden_clarity_clarence
-3070.40108374,10139.9277483,-7842.1448037,526.344436951,-5583.62238578,17049.4073575,business_cat
-3366.25148523,10343.7356007,-6940.05310637,1054.34896466,-4260.04876025,15824.5916803,business_cat
-14702.3245636,-1458.47198022,-4938.40554758,-4308.09817638,10898.7955619,4741.2057452,college_liberal
-8611.18626922,-1634.88739076,-2220.29228194,-354.787823747,-4609.54783289,550.654456824,evil_toddler
-635.924888177,-15442.1419106,1873.09298661,-2437.75673002,-4704.33718234,-507.135385715,evil_toddler
27887.6906003,-5772.52630429,-3475.60848339,2206.06459993,7081.92509473,7615.76808176,unpopular_opinion_puffin
19331.3028965,-11462.8803121,1964.62674251,-436.933374099,-3142.18218273,903.144846984,unpopular_opinion_puffin
-8888.39150385,-556.330039444,-2509.5887759,-272.761785614,-3963.71839032,1770.0957447,evil_toddler
35514.9890746,-2640.46700762,-2020.04041011,885.990841863,8716.70909004,1301.10529474,bad_joke_eel
-18960.6676178,-13067.0836917,1783.54648864,-2498.52227343,1471.13252743,1819.28558638,first_day_on_the_internet_kid
22362.1072578,-13444.3142825,3218.35662251,-1373.79436981,-6537.94214586,1081.95546936,sudden_clarity_clarence
3241.92160538,1159.07990319,260.297104823,533.301793948,-4032.16397733,-1335.96143558,overly_attached_girlfriend
-3972.27310675,9988.68273333,-1563.95412615,-1480.01093328,-2529.43551066,1967.01051076,confession_bear
32476.642609,-5302.15443491,-3234.7626229,4940.33326019,9935.08704803,1294.83936144,bad_joke_eel
-17897.2832563,-11041.2268314,-146.630627359,-1162.94750175,588.377599138,2323.99590425,minor_mistake_marvin
16218.8454808,2520.88955226,-13584.166272,8266.75107595,-6654.43472851,-16013.4507041,paranoid_parrot
-14636.8661403,-1736.79270789,-5097.10943323,-4430.1842514,11061.4146468,4376.6190572,college_liberal
-18224.9539965,-9305.24971811,-8860.23269473,17804.8503008,1974.85540994,-3188.31473113,advice_god
-2985.99781764,15597.4872027,3840.84869381,-7638.91342394,9475.11289205,-8873.63319691,bad_luck_brian
756.76829554,11306.5947211,-5883.71061228,-3221.67514785,-3614.10226604,2057.23429197,good_guy_greg
-6002.05402791,10554.4047237,3294.20945864,-8420.94025091,8812.60149774,-6196.9000576,bad_luck_brian
-10153.2976006,-4729.64252542,-1010.06242074,3024.10136857,-9153.50255978,-4377.90223759,religion_pigeon
-3205.80136086,10123.7250928,-8046.66653436,183.959058703,-4767.30671331,16660.1979262,business_cat
22955.8169858,7192.88235964,-4832.35989794,5744.74466896,3147.86110121,-272.832989337,unpopular_opinion_puffin
17146.6582197,-22770.2539848,10272.4442768,-10717.761464,-7454.78457323,881.079475613,sudden_clarity_clarence
-10100.2405009,4110.6047361,23686.5676485,10074.8848931,5264.14428767,-6480.58024504,socially_awkward_penguin
-19590.765415,-11842.071207,-8516.94262475,17344.77681,2059.10374988,-3699.78879488,advice_god
18747.7796816,-19300.8147973,8345.3713012,-10383.291001,-5861.00982068,-359.976559206,sudden_clarity_clarence
-8925.77982014,-3688.04626656,-1166.67843961,3052.39344776,-9845.32443788,-5367.43454599,religion_pigeon
-6409.72658549,-4197.81408806,-5050.51097016,-7887.74543423,-12053.0313223,-5412.07960891,paranoid_parrot
-17734.5338939,-10324.8188428,-472.038315676,-1281.43343096,591.622386109,2455.04274276,minor_mistake_marvin
24385.4721927,-2258.35003199,-3937.06933761,3453.78804635,11175.3883084,9536.39947274,unpopular_opinion_puffin
-4613.11811309,5936.15096522,-5243.70740437,-1032.05343877,-7177.60940423,-9393.92206354,paranoid_parrot
-9458.20409913,-7548.49142576,1551.69808436,-5422.39459895,-1777.92572659,1809.41165593,minor_mistake_marvin
-11483.3186997,196.942717322,-2676.27222639,-9596.65445862,9368.50514886,-8812.90836474,sheltered_college_freshman
-3860.54159631,10679.6572689,-252.370851217,-2146.36131944,-2872.5212168,364.154807914,confession_bear
-18300.8989807,-12586.5256909,2809.18697419,-4544.71464219,-1387.77274548,1808.55122499,first_day_on_the_internet_kid
33153.6604483,-3959.46397339,-1726.99247555,3294.3065654,9339.08173155,-68.5100322001,bad_joke_eel
