a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
-2479.24380643,1964.45833985,-1833.51983254,-1741.98646215,-4043.98637638,-652.123471352,-2252.69151104,-861.258773388,-907.020482903,-1407.38027501,-6050.5892732,-243.817059441,overly_attached_girlfriend,3324.18586517,7865.41554552,5582.21388717,-2018.87616692,7490.11753662,5578.07543085,1703.54221906,-6399.52926573,-2384.77731342
-3011.83299793,11149.7189444,-8217.66456692,1645.41058134,-5358.32569324,16295.9186935,-652.924175437,1441.75786154,13369.8469117,-3752.10719804,1761.87022852,-955.672753353,business_cat,263.31354027,1773.95374924,-5291.10664246,-969.09049047,1547.56783968,-1343.26526196,-1350.07209812,-653.856329089,4176.76425884
-20148.1744276,-15057.0334111,2990.05799536,-3268.73751185,-40.9688886531,2738.44294849,-3369.60222582,1585.82024276,-2358.72651016,-2196.1389432,-3311.73636331,-890.063712183,first_day_on_the_internet_kid,-1050.18731199,5467.13481753,1006.02892256,-4515.01680737,3405.15727385,2500.73979208,-4314.58896281,1334.25826989,2568.78452
11680.7739705,-16776.3756317,4031.44928924,-4200.77149518,-4751.14561994,-74.2067415676,-9589.97536924,-2039.59696158,1410.34842124,15514.0364126,-5359.27450947,-251.06079132,lazy_college_senior,-1341.55432159,-7109.68006327,-1782.1386876,-1171.55467162,4580.39642002,-5877.93314546,7043.45483082,-5778.78299944,-3440.98406826
18486.9600324,-13770.1934939,6779.50516378,-8973.74046792,-6660.44726941,-847.929864,6739.28052336,-3358.96501788,4291.54976122,3411.57847928,-3984.37670734,2022.34641316,sudden_clarity_clarence,101.806852439,1038.99906263,2342.6826947,-391.251933126,5934.72863671,1043.56822989,-2160.88140889,-1036.49619514,8547.9873004
-2221.67708427,11572.7684791,31906.1940785,14796.834041,1395.59433749,-1343.54279754,-2503.75876825,6220.06078993,4489.76791856,-1439.29712357,2325.52278709,-1210.99905916,socially_awkward_penguin,2359.59693991,-258.191133688,4592.66369629,-616.9546939,-1379.7629897,-854.465165884,526.038192341,362.263732966,-1724.67491433
-14259.6843472,-4964.76812431,-134.422800912,-7631.31849019,5216.13614551,-4597.85264368,-1467.26549063,-337.855702632,33.8908885686,1274.13048891,5375.67523159,1071.82566858,sheltered_college_freshman,-176.690303065,-2716.48335894,-1962.66838852,-948.954406713,2228.36475083,1216.56242219,-3552.13898007,-2646.38824833,3570.34857907
-3057.80326638,12062.478425,4809.13711113,-8594.10813903,9237.95876231,-7894.49231808,2962.14686336,706.735427297,3756.22177699,-2360.64968705,-3751.54977833,10448.9008249,bad_luck_brian,-199.442484042,-209.755656225,-6514.79287204,537.707994406,1179.98445624,1728.41204168,463.91141591,-706.448821049,-4528.43405676
15824.447896,642.441706669,-14624.678382,6718.67975891,-7002.5445102,-16246.1933257,2564.28606085,16296.1102329,454.504894937,-1969.13410913,-36.9039648537,-5254.85767591,paranoid_parrot,-2017.01925396,-327.954021518,-235.678336176,-1939.9407074,1247.68768745,-368.91695088,1280.61678934,-680.72389418,-794.30360747
-4216.93933881,7287.04884479,28539.7244434,13304.4437179,1647.47870308,-1114.41948662,-1196.16597294,4842.97260156,2455.86055723,-461.769638356,896.646158274,-2390.38352612,socially_awkward_penguin,1574.01060267,-1338.47839909,2470.19191982,-2560.76205587,204.218964429,-37.1084238389,1222.99856044,1069.96075237,1686.46882636
