0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
17078.8742737,-8717.50980375,-1063.55298604,-574.274669533,-1512.84567998,1817.58167589,1752.54278802,3569.05674317,-2395.48323978,-543.438260973,-1360.94284841,-719.863527091,-1145.85027414,-809.092114172,5973.4692417,2425.65682092,-93.6386783155,minor_mistake_marvin
-17094.3260964,5291.23108564,-7576.23543345,2438.03525485,3329.26832292,-1525.60262181,6881.13784803,1848.80343583,1817.80974383,-2082.65378508,2583.06227279,-816.503824054,-576.92707826,2931.48236925,-3637.53658161,-2500.61598044,-2934.4793471,good_guy_greg
-30393.3500096,-3799.69488012,-2208.73865844,4517.78439759,-9844.04829834,2233.05493602,1124.87606675,-3214.84316551,-4865.4388367,4678.10914016,1289.69802389,-3282.63827695,4614.89438195,-276.300680913,6967.06135467,299.743230871,-2076.4116651,bad_joke_eel
-586.436949899,13322.8006098,-5690.09327755,-3503.21954435,5266.85660951,1315.17052774,-1133.95087867,-1603.67763127,270.046745488,995.966486407,2613.67977666,7158.40730031,7344.10117172,-1265.37822344,-6444.88062092,-6704.60274508,-4595.79060125,good_guy_greg
-6412.49539359,20460.2879324,3226.66467547,-71.548155199,7989.45337842,215.097377896,-3126.07536305,-7475.44263085,-8886.13324549,-6988.33205189,-2501.93887625,-3383.01845795,-3505.0294841,6021.75987563,2407.72760655,-1024.74221371,-1665.17616289,high_expectations_asian_father
1957.35701133,11864.136788,20.5815966201,-2053.27432238,3683.509308,5235.13005054,-4563.97809577,600.891639212,-6077.8616135,-2923.81642441,-1973.68251472,-80.4612515651,-1188.65234633,-4241.79760322,314.796982129,-2494.67991036,6349.6943503,philosoraptor
8378.67367847,4108.43253866,1970.42676593,-4904.4386542,1618.09300418,-681.053862181,1962.42723571,81.9925458891,790.602755006,1170.30499306,7088.85315266,-3067.34436959,-4741.63277885,-3773.40305216,2220.85606827,6453.33086687,-1795.91108134,confession_bear
2197.90400984,11403.3728025,-8164.77161984,198.12044197,5469.84889809,17316.507753,-1349.64928081,1091.56438768,15927.7293941,4836.77282723,-4190.82407281,-704.2385194,-2.13521118174,2185.9092883,4802.99630291,-510.873511203,192.399232544,business_cat
-93.1518720122,-14165.7802896,1853.41830604,-2570.68602363,5164.59517185,-1048.74350191,6657.33990037,1856.72696154,697.941597665,-3653.21940503,-3540.55807398,4952.91186425,-1768.78840211,-6146.82950139,3968.73439574,-1031.64839125,-3310.20531019,evil_toddler
-11028.5392364,-17155.8260899,4822.37854636,-2299.5416364,5868.84917,-882.906790783,8155.9946229,-1488.95634746,5262.83016151,-6907.54086377,3807.15000853,3858.83824914,-579.469482309,-6561.35719847,-463.033151638,165.569298632,1803.3271514,lazy_college_senior
2479.23788782,1964.55190503,-1832.96570918,-1738.31219986,4040.26647185,-655.011475447,2249.88697502,-873.262724016,-896.236567323,1421.14553678,6151.03996511,-421.341490525,3354.45379125,7925.55525883,-5413.83839611,-2050.38705467,6803.58136683,overly_attached_girlfriend
3011.83156595,11149.7306267,-8217.61304929,1646.59709749,5358.84200635,16292.7291646,647.613089592,1443.93837074,13363.953875,3768.51091794,-1752.68538388,-763.871558795,254.218543523,1701.71999799,5350.64091533,-1017.91245741,1585.48453036,business_cat
20148.1772648,-15057.1272898,2989.6595195,-3272.77610942,44.911261219,2739.78560961,3370.43573733,1591.91538467,-2368.62917419,2175.85660351,3126.14177961,-1336.661431,-1044.75827546,5527.14396574,-1070.48755685,-4551.7934389,3383.1884267,first_day_on_the_internet_kid
