0,1,2,3,4,5,6,7,8,label
20148.1772648,-15057.1272898,2989.6595195,-3272.77610942,44.911261219,2739.78560961,3370.43573733,1591.91538467,-2368.62917419,first_day_on_the_internet_kid
-11680.7730631,-16776.3748659,4031.31955168,-4200.80363028,4752.0419244,-71.3206797751,9601.51780975,-2039.08799099,1410.18640457,lazy_college_senior
-18486.9546307,-13770.1884251,6779.78618512,-8973.19265823,6663.23305711,-846.101299623,-6736.92045414,-3347.86043629,4298.95683314,sudden_clarity_clarence
2221.67990913,11572.7568793,31906.2106172,14796.5001201,-1394.99921699,-1341.95126542,2501.35170863,6220.35101205,4491.95286831,socially_awkward_penguin
14259.6871206,-4964.74578073,-134.195346452,-7627.69837564,-5217.96537707,-4601.55688961,1459.18560446,-339.842571361,31.3330306386,sheltered_college_freshman
3057.79855949,12062.5556057,4809.49132268,-8590.85922066,-9238.6817321,-7901.03132594,-2963.96843724,709.193204313,3747.23551163,bad_luck_brian
-15824.4490223,642.494885432,-14624.5162783,6719.95353529,7000.79196962,-16246.8514758,-2562.26495735,16294.9718829,454.606630848,paranoid_parrot
4216.9410457,7287.01728067,28539.7295195,13304.994369,-1648.39197432,-1113.9945006,1191.89550361,4839.45627442,2455.32116283,socially_awkward_penguin
13719.6326533,-6037.57287524,-52.2388953803,19.5729281423,2129.76995944,-3206.1066358,2736.49434715,-378.833655665,579.676972658,overly_attached_girlfriend
8442.82681035,-11507.9420065,5142.74691963,-7711.65065907,6411.80203083,-1087.16306548,2600.22049403,5979.56064504,-4965.51149246,minor_mistake_marvin
494.444957459,-6671.40617638,-3060.1948741,3232.46243815,4021.54526476,126.737233097,5083.66118554,2023.06595741,758.226311448,evil_toddler
4479.53266809,8593.94793882,-7049.5407987,1550.03437868,5529.87905257,15114.8836296,2377.96676559,1837.26006286,11647.7486516,business_cat
11335.5203668,1739.70720501,-3348.55441867,-9383.67762519,-9291.79824808,-9602.57306439,7289.33751642,-8303.31523103,4772.78911512,sheltered_college_freshman
-2031.34275751,20805.9794462,-129.036115851,-716.72147777,-49.2327268086,-904.146960906,-2032.04337608,-6140.61575379,-5449.86132252,high_expectations_asian_father
3793.92906285,11731.0998633,265.22288029,-2819.87631753,2682.17823764,173.5184254,2695.08740428,-1241.55161248,-2339.83027814,confession_bear
14949.0442031,-1186.90634118,-5245.3714764,-3979.95985061,-10796.6389695,4759.40905996,-4831.31275115,6972.5496711,-1907.09088317,college_liberal
11302.1621209,1560.59415086,-3459.34197271,-9625.64301203,-9629.81888241,-9670.31521191,8011.61065953,-8492.17291683,4293.02867562,sheltered_college_freshman
11397.7048892,1544.53229714,-3204.26116519,-9072.93335268,-9421.25433211,-9318.02360595,8568.94796354,-8310.78605542,4441.2828704,sheltered_college_freshman
4203.3007608,6239.99209475,28865.4626707,12770.5430112,-1815.00841242,190.205592752,1503.59034354,5566.06209436,2030.07549661,socially_awkward_penguin
-15214.9065934,1153.66694368,-12861.2413092,6852.14174823,8277.18281376,-17527.0817288,-1375.22220108,14655.6711603,4945.13910812,paranoid_parrot
