0,1,2,3,label
14815.5039193,-2289.4443386,-4910.26828221,-4862.4748091,college_liberal
-24905.1073649,-3680.82738878,-3940.72413445,4736.45827249,unpopular_opinion_puffin
14686.059251,-765.918178824,-5226.08480898,-3937.669058,college_liberal
19418.7238501,-11746.6123166,-8381.67142135,17501.6565303,advice_god
2318.45244615,12234.2548961,24.3666859544,-1935.46879547,confession_bear
17707.8318908,-8903.19926371,-7831.98329389,15592.8484881,advice_god
-16908.9959184,-13123.2802626,5451.78234703,-5322.63713673,lazy_college_senior
5754.16150137,6785.18328454,29193.4127363,12868.4516469,socially_awkward_penguin
2817.13926663,7155.57379974,3068.73297059,-5639.16865408,confession_bear
-33722.2911255,-6383.01842352,-164.068816846,3573.10608194,bad_joke_eel
2998.04461092,14461.083797,3129.1997692,-8801.22634017,bad_luck_brian
3536.47566843,7525.04189017,-6443.2858682,812.2697545,business_cat
15185.2314221,-3919.23983403,-3265.36879707,-5027.48705702,college_liberal
-2432.70925132,-13639.5831228,1711.98111833,-1903.06634174,evil_toddler
1131.79474704,16310.0548897,3790.04754873,-7735.12251841,bad_luck_brian
-5629.11355662,20145.4058467,2974.80674788,725.971874038,high_expectations_asian_father
19047.2765019,-13626.2987797,825.251764778,-2201.1761065,minor_mistake_marvin
-4558.74385674,-11061.8154678,3432.26066852,-5305.92266342,evil_toddler
3193.101415,10030.4202513,753.593522145,-2263.29632964,philosoraptor
17810.6912128,-11982.0197054,2790.81556831,-4256.33915156,first_day_on_the_internet_kid
-21497.9426757,-18927.5818767,9437.71162397,-12048.9249877,sudden_clarity_clarence
3365.27585906,12064.8590574,-490.24913491,-2931.74123045,confession_bear
-29434.9773263,-1965.69188942,-5656.6763571,6199.2959014,unpopular_opinion_puffin
-34628.7158902,-6600.04706028,-1663.81720433,7242.26234016,bad_joke_eel
-31756.003653,-5883.72664295,-2539.39082817,3936.64281895,bad_joke_eel
3592.11988267,15219.9828632,3452.143736,-9042.34819003,bad_luck_brian
19285.4975127,-11870.4883313,-7691.94070506,17019.6817167,advice_god
-26380.8991368,-15127.896468,2826.568478,-1289.42877162,sudden_clarity_clarence
3316.68671413,13352.9519609,4270.70646402,-10413.023894,bad_luck_brian
3625.79768705,15108.2326996,2308.85690274,-7013.9746179,bad_luck_brian
18180.3993361,-12709.9147964,3072.13577255,-4519.85669514,first_day_on_the_internet_kid
-14212.5720082,-12241.573775,3907.24235274,-2746.46362927,lazy_college_senior
-7583.9851538,-3744.10014722,-6199.89732914,322.956401431,philosoraptor
2554.77032075,11630.5652049,474.777915522,-2856.04683105,confession_bear
18009.3686116,-12679.7769535,2854.84752299,-4419.27142314,first_day_on_the_internet_kid
-19070.5395185,-15649.4766312,8557.85201546,-7211.09463771,sudden_clarity_clarence
-24613.7995131,-8401.85278768,-10445.7509917,4328.60862969,business_cat
17744.9582888,-10511.2753876,-747.628599975,1901.81284362,minor_mistake_marvin
-5212.41468451,18924.7842305,4505.03468347,-269.603730755,high_expectations_asian_father
3626.33452414,7285.21006988,-6912.6364768,345.973209059,paranoid_parrot
-32853.0820178,-5335.29146484,-2688.98443901,4023.45339738,bad_joke_eel
-31959.6376632,-7328.71332754,-893.832641547,3476.16007077,bad_joke_eel
-6527.06603068,21371.8405472,2630.3553589,235.212589924,high_expectations_asian_father
14767.5629665,-1662.85376493,-5287.41526828,-4382.29929098,college_liberal
11262.9236578,1582.65379178,-3390.57080737,-9306.08777326,sheltered_college_freshman
7313.07096617,509.578828422,75.023922983,-3068.29632914,sheltered_college_freshman
-24819.6324901,-5790.00147099,-4758.60932361,6177.84773246,unpopular_opinion_puffin
-32121.6851354,-3827.34575753,-1118.14197579,2319.53699593,bad_joke_eel
2481.65973679,11631.7155687,-220.620535239,-936.745611417,philosoraptor
19032.3199092,-13851.5834597,1958.95404505,-2888.30627928,first_day_on_the_internet_kid
2765.46585693,13207.3513339,-6209.7075276,-2642.86478541,good_guy_greg
2880.9169745,14343.2631709,3474.13506131,-8192.70034298,bad_luck_brian
19165.7759208,-11742.5288247,-8588.76632132,17447.8285911,advice_god
11116.2387541,1809.12548852,-2660.57805934,-8777.60891918,sheltered_college_freshman
7423.45973206,-95.9939094354,-280.008049646,-4139.89842672,sheltered_college_freshman
18731.5133663,-12353.0427935,-600.530613947,2157.33835896,minor_mistake_marvin
-141.849580287,15760.9889189,3970.08339027,-2651.02125736,high_expectations_asian_father
15070.8630821,-1707.08607237,-5091.24158251,-4170.18924819,college_liberal
-24311.2830586,-5730.78301416,-4279.84924036,4916.72027884,unpopular_opinion_puffin
19276.9306757,-14813.3498249,2576.63691913,-4542.24983441,first_day_on_the_internet_kid
15109.2995102,-1946.05566105,-5066.91408014,-4054.32048084,college_liberal
1751.45171545,12594.2259707,-160.070619082,-1583.23960946,philosoraptor
3386.67069369,14718.7465647,3127.11767942,-7826.44850176,bad_luck_brian
-9087.46286029,5815.33050551,-8489.63154476,-3208.48610541,business_cat
-15619.3745656,1639.27516992,-14212.1637626,7313.27823643,paranoid_parrot
19674.6627135,-12424.0832814,-7003.12368583,16957.6148393,advice_god
14994.1326477,-1294.74504666,-5322.69728058,-3655.51255537,college_liberal
7968.26841032,7211.44412593,-1083.24500798,-2887.66049813,philosoraptor
-1004.78263717,-13144.0515058,1453.95745025,-3151.99544666,evil_toddler
511.551788413,11711.6291343,-344.413488433,-1173.83007462,philosoraptor
-1102.59411204,-12877.0220508,1139.81986973,-2653.41353783,evil_toddler
19416.9668458,-11686.7538424,-8716.85223689,18097.6385622,advice_god
